player_id,player_name,player_type,primary_course,starts,top3_rate,top3_vs_course_avg,course_strength,reliability
3783,瓜 生 正 義,2コース差し/残り型,2,19,73.68,20.99,得意,B
3444,香 月 大 介,イン安定型,1,8,75.0,-9.17,得意,C
3928,林 恵 祐,標準/要当日展示,3,22,54.55,1.84,標準,A
4679,植 田 太 一,4カド攻撃型,4,9,77.78,28.26,得意,C
4709,岡 村 将 也,4カド攻撃型,4,26,57.69,8.17,得意,A
4741,中 村 直 喜,標準/要当日展示,6,15,0.0,-23.06,苦手,B
3898,平 田 忠 則,2コース差し/残り型,2,14,71.43,18.74,得意,B
4368,山 口 隆 史,5コース残り型,5,18,44.44,6.38,やや得意,B
4332,村 上 彰 一,標準/要当日展示,3,7,85.71,33.0,得意,C
4234,野 相 弘 司,標準/要当日展示,4,3,0.0,-49.52,少数参考,参考
4336,松 田 竜 馬,標準/要当日展示,6,9,22.22,-0.84,標準,C
4768,田 代 元 気,標準/要当日展示,6,13,0.0,-23.06,苦手,B
4451,松 崎 祐太郎,4カド攻撃型,4,18,61.11,11.59,得意,B
3714,梶 原 正,イン安定型,1,5,80.0,-4.17,得意,C
4193,郷 原 章 平,2コース差し/残り型,2,19,63.16,10.47,得意,B
2273,原 田 順 一,標準/要当日展示,2,4,50.0,-2.69,少数参考,参考
3876,中 辻 崇 人,2コース差し/残り型,2,12,75.0,22.31,得意,B
4544,松 田 大志郎,2コース差し/残り型,2,14,85.71,33.02,得意,B
3537,田 山 和 広,標準/要当日展示,5,12,33.33,-4.73,標準,B
4122,安 東 幸 治,5コース残り型,5,15,60.0,21.94,得意,B
4729,佐 藤 謙史朗,標準/要当日展示,6,12,0.0,-23.06,苦手,B
3869,井 芹 大 志,標準/要当日展示,5,3,66.67,28.61,少数参考,参考
4371,西 山 貴 浩,2コース差し/残り型,2,24,70.83,18.14,得意,A
4355,小 川 広 大,標準/要当日展示,5,11,18.18,-19.88,苦手,B
3851,森 田 昭 彦,5コース残り型,5,9,44.44,6.38,やや得意,C
4236,松 村 敏,2コース差し/残り型,2,23,86.96,34.27,得意,A
3473,石 川 真 二,イン安定型,1,37,83.78,-0.39,得意,A
4549,小 林 文 彦,2コース差し/残り型,2,7,71.43,18.74,得意,C
3702,貞 兼 淳 二,イン安定型,1,8,87.5,3.33,得意,C
4607,鶴 田 勇 雄,4カド攻撃型,4,29,58.62,9.1,得意,A
3434,松 尾 宣 邦,イン安定型,1,13,92.31,8.14,得意,B
4487,三 原 司,2コース差し/残り型,2,12,58.33,5.64,やや得意,B
4180,上 野 秀 和,4カド攻撃型,4,9,66.67,17.15,得意,C
4189,川 上 剛,2コース差し/残り型,2,26,57.69,5.0,やや得意,A
4736,高 倉 和 士,2コース差し/残り型,2,22,81.82,29.13,得意,A
4256,渡 辺 浩 司,2コース差し/残り型,2,8,75.0,22.31,得意,C
4151,下 河 誉 史,2コース差し/残り型,2,19,68.42,15.73,得意,B
4522,古 澤 光 紀,2コース差し/残り型,2,16,81.25,28.56,得意,B
4668,楠 本 晃 嗣,標準/要当日展示,3,3,33.33,-19.38,少数参考,参考
4346,前 田 健太郎,イン安定型,1,8,75.0,-9.17,得意,C
3121,占 部 彰 二,標準/要当日展示,4,4,75.0,25.48,少数参考,参考
3491,富 永 茂,標準/要当日展示,2,5,40.0,-12.69,苦手,C
3174,古 賀 勝 則,標準/要当日展示,2,3,66.67,13.98,少数参考,参考
4212,宮 地 孝四朗,標準/要当日展示,3,4,100.0,47.29,少数参考,参考
3782,伊 藤 宏,標準/要当日展示,3,4,50.0,-2.71,少数参考,参考
4102,益 田 啓 司,2コース差し/残り型,2,12,75.0,22.31,得意,B
4060,島 田 一 生,4カド攻撃型,4,17,70.59,21.07,得意,B
3666,内 野 省 一,標準/要当日展示,3,3,66.67,13.96,少数参考,参考
3796,長 野 道 臣,4カド攻撃型,4,5,60.0,10.48,得意,C
3599,柿 本 達 也,標準/要当日展示,5,3,33.33,-4.73,少数参考,参考
4231,鈴 木 裕 隆,2コース差し/残り型,2,8,75.0,22.31,得意,C
3661,柳 瀬 興 志,4カド攻撃型,4,5,60.0,10.48,得意,C
4265,村 上 祐 次,標準/要当日展示,4,3,33.33,-16.19,少数参考,参考
4079,出 畑 孝 典,2コース差し/残り型,2,13,69.23,16.54,得意,B
4705,吉 川 勇 作,標準/要当日展示,2,6,50.0,-2.69,標準,C
