player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
3444,香 月 大 介,2,11,0.0,9.09,9.09,18.18,0.141,0.09,0.22,0.0,52.69,-34.51,0,0.0,苦手,B
4741,中 村 直 喜,6,15,0.0,0.0,0.0,0.0,0.195,0.08,0.38,0.0,23.06,-23.06,2,13.33,苦手,B
4368,山 口 隆 史,2,13,0.0,30.77,7.69,38.46,0.159,0.06,0.33,38.46,52.69,-14.23,1,7.69,苦手,B
4768,田 代 元 気,6,13,0.0,0.0,0.0,0.0,0.188,0.02,0.28,15.38,23.06,-23.06,2,15.38,苦手,B
3714,梶 原 正,4,14,14.29,7.14,14.29,35.71,0.13,0.06,0.24,57.14,49.52,-13.81,0,0.0,苦手,B
3537,田 山 和 広,4,8,12.5,0.0,0.0,12.5,0.211,0.12,0.38,0.0,49.52,-37.02,1,12.5,苦手,C
4729,佐 藤 謙史朗,6,12,0.0,0.0,0.0,0.0,0.193,0.1,0.34,50.0,23.06,-23.06,1,8.33,苦手,B
4355,小 川 広 大,3,8,0.0,25.0,0.0,25.0,0.181,0.09,0.32,25.0,52.71,-27.71,0,0.0,苦手,C
4487,三 原 司,3,12,0.0,8.33,25.0,33.33,0.164,0.06,0.25,8.33,52.71,-19.38,1,8.33,苦手,B
4679,植 田 太 一,5,17,0.0,17.65,5.88,23.53,0.203,0.02,0.43,11.76,38.06,-14.53,4,23.53,苦手,B
3537,田 山 和 広,2,13,0.0,15.38,15.38,30.77,0.19,0.12,0.26,0.0,52.69,-21.92,0,0.0,苦手,B
4668,楠 本 晃 嗣,5,6,0.0,0.0,0.0,0.0,0.203,0.08,0.33,0.0,38.06,-38.06,1,16.67,苦手,C
3473,石 川 真 二,2,63,1.59,20.63,19.05,41.27,0.149,0.02,0.28,20.63,52.69,-11.42,51,80.95,苦手,A
3714,梶 原 正,2,15,0.0,0.0,40.0,40.0,0.183,0.02,0.29,6.67,52.69,-12.69,0,0.0,苦手,B
3928,林 恵 祐,4,23,8.7,17.39,4.35,30.43,0.156,0.06,0.28,13.04,49.52,-19.09,4,17.39,苦手,A
4193,郷 原 章 平,6,10,0.0,0.0,10.0,10.0,0.188,0.11,0.33,20.0,23.06,-13.06,0,0.0,苦手,B
3444,香 月 大 介,5,12,0.0,8.33,0.0,8.33,0.159,0.05,0.41,16.67,38.06,-29.73,2,16.67,苦手,B
4355,小 川 広 大,5,11,9.09,9.09,0.0,18.18,0.156,0.09,0.28,9.09,38.06,-19.88,4,36.36,苦手,B
3434,松 尾 宣 邦,5,16,0.0,12.5,12.5,25.0,0.184,0.09,0.29,6.25,38.06,-13.06,4,25.0,苦手,B
4368,山 口 隆 史,1,8,12.5,37.5,12.5,62.5,0.171,0.13,0.23,12.5,84.17,-21.67,0,0.0,苦手,C
3537,田 山 和 広,1,6,16.67,0.0,50.0,66.67,0.187,0.11,0.29,33.33,84.17,-17.5,0,0.0,苦手,C
4355,小 川 広 大,2,14,0.0,21.43,0.0,21.43,0.189,0.05,0.29,7.14,52.69,-31.26,0,0.0,苦手,B
4332,村 上 彰 一,2,5,0.0,20.0,0.0,20.0,0.168,0.11,0.25,0.0,52.69,-32.69,0,0.0,苦手,C
4729,佐 藤 謙史朗,5,10,0.0,0.0,0.0,0.0,0.157,0.04,0.22,20.0,38.06,-38.06,2,20.0,苦手,B
3444,香 月 大 介,6,9,0.0,11.11,0.0,11.11,0.136,0.07,0.23,55.56,23.06,-11.95,1,11.11,苦手,C
3851,森 田 昭 彦,1,8,25.0,12.5,12.5,50.0,0.158,0.08,0.24,12.5,84.17,-34.17,0,0.0,苦手,C
3714,梶 原 正,5,14,0.0,0.0,14.29,14.29,0.144,0.07,0.24,35.71,38.06,-23.77,5,35.71,苦手,B
4151,下 河 誉 史,5,11,9.09,0.0,18.18,27.27,0.191,0.09,0.27,0.0,38.06,-10.79,5,45.45,苦手,B
4346,前 田 健太郎,2,17,0.0,29.41,11.76,41.18,0.171,0.03,0.27,0.0,52.69,-11.51,1,5.88,苦手,B
3491,富 永 茂,2,5,0.0,20.0,20.0,40.0,0.182,0.13,0.26,0.0,52.69,-12.69,0,0.0,苦手,C
3714,梶 原 正,3,13,7.69,15.38,15.38,38.46,0.173,0.07,0.35,30.77,52.71,-14.25,0,0.0,苦手,B
3851,森 田 昭 彦,4,16,0.0,12.5,12.5,25.0,0.182,0.07,0.25,0.0,49.52,-24.52,3,18.75,苦手,B
