player_id,player_name,lane,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
3783,瓜 生 正 義,1,1,25,76.0,12.0,4.0,92.0,0.117,0.05,0.23,28.0,84.17,7.83,0,0.0,得意,A
3444,香 月 大 介,2,2,11,0.0,9.09,9.09,18.18,0.141,0.09,0.22,0.0,52.69,-34.51,0,0.0,苦手,B
3928,林 恵 祐,3,3,22,4.55,18.18,31.82,54.55,0.164,0.03,0.26,0.0,52.71,1.84,0,0.0,標準,A
4679,植 田 太 一,4,4,8,0.0,50.0,25.0,75.0,0.144,0.01,0.22,37.5,49.52,25.48,0,0.0,得意,C
4709,岡 村 将 也,5,5,18,0.0,27.78,16.67,44.44,0.146,0.02,0.34,33.33,38.06,6.38,0,0.0,やや得意,B
4741,中 村 直 喜,6,6,13,0.0,0.0,0.0,0.0,0.195,0.08,0.38,0.0,23.06,-23.06,0,0.0,苦手,B
3898,平 田 忠 則,1,1,23,65.22,26.09,4.35,95.65,0.117,0.04,0.21,47.83,84.17,11.48,0,0.0,得意,A
4368,山 口 隆 史,2,2,12,0.0,25.0,8.33,33.33,0.157,0.06,0.33,33.33,52.69,-19.36,0,0.0,苦手,B
4332,村 上 彰 一,3,3,7,14.29,28.57,42.86,85.71,0.15,0.07,0.26,0.0,52.71,33.0,0,0.0,得意,C
4234,野 相 弘 司,4,4,3,0.0,0.0,0.0,0.0,0.21,0.1,0.32,0.0,49.52,-49.52,0,0.0,少数参考,参考
4336,松 田 竜 馬,5,5,10,0.0,10.0,20.0,30.0,0.166,0.04,0.26,20.0,38.06,-8.06,0,0.0,標準,B
4768,田 代 元 気,6,6,11,0.0,0.0,0.0,0.0,0.186,0.02,0.28,18.18,23.06,-23.06,0,0.0,苦手,B
4451,松 崎 祐太郎,3,3,9,22.22,22.22,11.11,55.56,0.148,0.12,0.18,0.0,52.71,2.85,0,0.0,標準,C
3714,梶 原 正,4,4,14,14.29,7.14,14.29,35.71,0.13,0.06,0.24,57.14,49.52,-13.81,0,0.0,苦手,B
4193,郷 原 章 平,5,5,10,0.0,20.0,10.0,30.0,0.144,0.05,0.23,20.0,38.06,-8.06,0,0.0,標準,B
3876,中 辻 崇 人,1,1,35,65.71,17.14,5.71,88.57,0.129,0.04,0.29,48.57,84.17,4.4,0,0.0,得意,A
4544,松 田 大志郎,3,3,14,14.29,0.0,28.57,42.86,0.176,0.08,0.38,7.14,52.71,-9.85,0,0.0,標準,B
3537,田 山 和 広,4,4,7,14.29,0.0,0.0,14.29,0.2,0.12,0.38,0.0,49.52,-35.23,0,0.0,苦手,C
4122,安 東 幸 治,5,5,11,0.0,18.18,36.36,54.55,0.157,0.0,0.32,27.27,38.06,16.49,0,0.0,得意,B
4729,佐 藤 謙史朗,6,6,11,0.0,0.0,0.0,0.0,0.188,0.1,0.34,54.55,23.06,-23.06,0,0.0,苦手,B
