player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
3783,瓜 生 正 義,1,25,0.117,0.05,0.23,28.0,A
3444,香 月 大 介,2,11,0.141,0.09,0.22,0.0,B
3928,林 恵 祐,3,22,0.164,0.03,0.26,0.0,A
4679,植 田 太 一,4,9,0.148,0.01,0.22,33.33,C
4709,岡 村 将 也,5,18,0.146,0.02,0.34,33.33,B
4741,中 村 直 喜,6,15,0.195,0.08,0.38,0.0,B
3898,平 田 忠 則,1,23,0.117,0.04,0.21,47.83,A
4368,山 口 隆 史,2,13,0.159,0.06,0.33,38.46,B
4332,村 上 彰 一,3,7,0.15,0.07,0.26,0.0,C
4234,野 相 弘 司,4,3,0.21,0.1,0.32,0.0,参考
4336,松 田 竜 馬,5,13,0.162,0.04,0.26,15.38,B
4768,田 代 元 気,6,13,0.188,0.02,0.28,15.38,B
4451,松 崎 祐太郎,3,12,0.14,0.09,0.18,0.0,B
3714,梶 原 正,4,14,0.13,0.06,0.24,57.14,B
4193,郷 原 章 平,5,12,0.138,0.01,0.23,25.0,B
2273,原 田 順 一,2,4,0.175,0.08,0.36,0.0,参考
3876,中 辻 崇 人,1,35,0.129,0.04,0.29,48.57,A
4544,松 田 大志郎,3,14,0.176,0.08,0.38,7.14,B
3537,田 山 和 広,4,8,0.211,0.12,0.38,0.0,C
4122,安 東 幸 治,5,15,0.159,0.0,0.35,26.67,B
4729,佐 藤 謙史朗,6,12,0.193,0.1,0.34,50.0,B
3869,井 芹 大 志,1,3,0.103,0.06,0.15,0.0,参考
4371,西 山 貴 浩,2,24,0.129,0.05,0.29,12.5,A
4355,小 川 広 大,3,8,0.181,0.09,0.32,25.0,C
3851,森 田 昭 彦,5,9,0.13,0.04,0.27,0.0,C
4236,松 村 敏,2,23,0.113,0.03,0.2,52.17,A
3473,石 川 真 二,3,14,0.172,0.04,0.26,7.14,B
4368,山 口 隆 史,5,18,0.175,0.04,0.35,22.22,B
4549,小 林 文 彦,4,14,0.205,0.08,0.42,7.14,B
3702,貞 兼 淳 二,6,3,0.307,0.21,0.46,0.0,参考
4607,鶴 田 勇 雄,1,27,0.157,0.07,0.31,40.74,A
3434,松 尾 宣 邦,2,15,0.173,0.09,0.29,13.33,B
4487,三 原 司,3,12,0.164,0.06,0.25,8.33,B
4679,植 田 太 一,5,17,0.203,0.02,0.43,11.76,B
4180,上 野 秀 和,6,10,0.173,0.1,0.29,0.0,B
4189,川 上 剛,1,55,0.159,0.07,0.34,18.18,A
3537,田 山 和 広,2,13,0.19,0.12,0.26,0.0,B
4736,高 倉 和 士,3,29,0.141,0.08,0.28,10.34,A
4256,渡 辺 浩 司,4,10,0.139,0.05,0.31,50.0,B
4768,田 代 元 気,5,3,0.127,0.09,0.17,0.0,参考
4709,岡 村 将 也,6,33,0.157,0.04,0.38,12.12,A
4151,下 河 誉 史,2,19,0.192,0.07,0.38,0.0,B
4522,古 澤 光 紀,3,20,0.133,0.08,0.21,10.0,A
3876,中 辻 崇 人,4,16,0.117,0.03,0.21,31.25,B
4668,楠 本 晃 嗣,5,6,0.203,0.08,0.33,0.0,C
4451,松 崎 祐太郎,1,24,0.138,0.01,0.23,12.5,A
3783,瓜 生 正 義,3,20,0.151,0.07,0.32,10.0,A
4336,松 田 竜 馬,4,13,0.165,0.01,0.36,15.38,B
3869,井 芹 大 志,5,3,0.213,0.17,0.26,0.0,参考
4346,前 田 健太郎,6,15,0.162,0.07,0.27,6.67,B
3473,石 川 真 二,2,63,0.149,0.02,0.28,20.63,A
4236,松 村 敏,1,45,0.129,0.03,0.37,53.33,A
3714,梶 原 正,2,15,0.183,0.02,0.29,6.67,B
4189,川 上 剛,3,42,0.159,0.03,0.3,14.29,A
