summary_type,tide_type_est,races,one_escape_rate,course2_head_rate,center_head_3_4_rate,outer_head_5_6_rate,outer_in3_5_6_rate,roughness_rate,avg_tide_cm_est,race_time_band,tide_direction,tide_window,tide_level_band,tide_condition_label
潮種推定,中潮相当,1939,0.4296,0.165,0.2764,0.1289,0.6199,0.5704,112.4,,,,,
潮種推定,大潮相当,1935,0.4506,0.1633,0.2677,0.1183,0.5953,0.5494,102.9,,,,,
潮種推定,小潮相当,1882,0.4485,0.17,0.2731,0.1084,0.5691,0.5515,124.5,,,,,
潮種推定,若潮相当,12,0.4167,0.3333,0.25,0.0,0.4167,0.5833,127.2,,,,,
潮種推定,長潮相当,204,0.4608,0.1912,0.25,0.098,0.6029,0.5392,123.5,,,,,
潮種推定_時間帯,中潮相当,648,0.3503,0.2037,0.3056,0.1404,0.6296,0.6497,104.7,early,,,,
潮種推定_時間帯,中潮相当,644,0.5388,0.1335,0.2158,0.1118,0.5776,0.4612,125.8,late,,,,
潮種推定_時間帯,中潮相当,647,0.4003,0.1577,0.3076,0.1345,0.6522,0.5997,106.7,middle,,,,
潮種推定_時間帯,大潮相当,646,0.3885,0.1997,0.2848,0.1269,0.5913,0.6115,79.9,early,,,,
潮種推定_時間帯,大潮相当,642,0.5685,0.134,0.2072,0.0903,0.5841,0.4315,134.3,late,,,,
潮種推定_時間帯,大潮相当,647,0.3957,0.1561,0.3107,0.1376,0.6105,0.6043,94.7,middle,,,,
潮種推定_時間帯,小潮相当,628,0.3599,0.2006,0.3185,0.121,0.5892,0.6401,127.5,early,,,,
潮種推定_時間帯,小潮相当,627,0.555,0.1531,0.2105,0.0813,0.5486,0.445,120.4,late,,,,
潮種推定_時間帯,小潮相当,627,0.4306,0.1563,0.2903,0.1228,0.5694,0.5694,125.6,middle,,,,
潮種推定_時間帯,長潮相当,68,0.4412,0.1765,0.25,0.1324,0.5441,0.5588,128.8,early,,,,
潮種推定_時間帯,長潮相当,68,0.4853,0.2059,0.25,0.0588,0.6618,0.5147,115.7,late,,,,
潮種推定_時間帯,長潮相当,68,0.4559,0.1912,0.25,0.1029,0.6029,0.5441,126.0,middle,,,,
潮方向,,3413,0.4509,0.1606,0.2745,0.114,0.5998,0.5491,115.5,,上げ潮,,,
潮方向,,2559,0.4334,0.1762,0.2677,0.1227,0.5885,0.5666,110.9,,下げ潮,,,
潮窓,,544,0.3879,0.1912,0.2831,0.1379,0.6195,0.6121,74.8,,,干潮前1h,,
潮窓,,465,0.4538,0.172,0.2602,0.114,0.5849,0.5462,94.6,,,干潮前2h,,
潮窓,,609,0.4286,0.1773,0.2906,0.1034,0.5977,0.5714,72.7,,,干潮後1h,,
潮窓,,613,0.4454,0.1762,0.248,0.1305,0.6069,0.5546,91.9,,,干潮後2h,,
潮窓,,378,0.5212,0.1376,0.2328,0.1085,0.5503,0.4788,162.6,,,満潮前1h,,
潮窓,,463,0.4946,0.1231,0.2484,0.1339,0.5832,0.5054,152.7,,,満潮前2h,,
潮窓,,317,0.4732,0.1514,0.2713,0.1041,0.5868,0.5268,155.3,,,満潮後1h,,
潮窓,,281,0.4769,0.1886,0.242,0.0925,0.5623,0.5231,138.7,,,満潮後2h,,
潮窓,,2302,0.4266,0.169,0.2871,0.1173,0.6021,0.5734,118.3,,,通常,,
潮位帯,,1534,0.4602,0.1591,0.2503,0.1304,0.5978,0.5398,77.9,,,,やや低潮位(50-99cm),
潮位帯,,809,0.5068,0.1409,0.246,0.1063,0.5797,0.4932,160.9,,,,やや高潮位(150-179cm),
潮位帯,,2998,0.4246,0.1765,0.2849,0.1141,0.5981,0.5754,126.5,,,,中潮位(100-149cm),
潮位帯,,458,0.3952,0.179,0.3079,0.1179,0.6004,0.6048,34.4,,,,低潮位(<50cm),
潮位帯,,173,0.4509,0.1734,0.2543,0.1214,0.5723,0.5491,193.9,,,,高潮位(180cm+),
潮条件,,754,0.3899,0.1857,0.2865,0.1379,0.6061,0.6101,108.3,,,,,falling_mid
潮条件,,500,0.42,0.186,0.25,0.144,0.608,0.58,92.3,,,,,falling_strong
潮条件,,7,0.2857,0.2857,0.4286,0.0,0.2857,0.7143,126.9,,,,,falling_turning
潮条件,,145,0.4759,0.2,0.2345,0.0897,0.6276,0.5241,117.8,,,,,falling_very_weak
