condition_scope,condition_id,condition_races,tide_type_est,tide_level_band,tide_direction,tide_phase,tide_window,wind_dir,wind_speed_band,wave_band,one_escape_rate,center_head_3_4_rate,outer_head_5_6_rate,outer_in3_5_6_rate,sample_reliability,one_escape_vs_all_pt,center_head_3_4_vs_all_pt,outer_head_5_6_vs_all_pt,outer_in3_5_6_vs_all_pt
baseline,ALL,5304,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,0.4227,0.269042,0.114819,0.591629,A,0.0,-0.0,-0.0,0.0
wind_dir,wind_dir=unknown,160,ALL,ALL,ALL,ALL,ALL,unknown,ALL,ALL,0.425,0.2375,0.2,0.575,B,0.23,-3.154,8.518,-1.663
wind_dir,wind_dir=北,1003,ALL,ALL,ALL,ALL,ALL,北,ALL,ALL,0.397807,0.269192,0.153539,0.654038,A,-2.489,0.015,3.872,6.241
wind_dir,wind_dir=北東,410,ALL,ALL,ALL,ALL,ALL,北東,ALL,ALL,0.426829,0.273171,0.117073,0.595122,A,0.413,0.413,0.225,0.349
wind_dir,wind_dir=北西,76,ALL,ALL,ALL,ALL,ALL,北西,ALL,ALL,0.355263,0.342105,0.105263,0.539474,C,-6.744,7.306,-0.956,-5.215
wind_dir,wind_dir=南,2280,ALL,ALL,ALL,ALL,ALL,南,ALL,ALL,0.441228,0.25,0.098246,0.575439,A,1.853,-1.904,-1.657,-1.619
wind_dir,wind_dir=南東,704,ALL,ALL,ALL,ALL,ALL,南東,ALL,ALL,0.423295,0.291193,0.102273,0.583807,A,0.06,2.215,-1.255,-0.782
wind_dir,wind_dir=南西,91,ALL,ALL,ALL,ALL,ALL,南西,ALL,ALL,0.340659,0.285714,0.153846,0.527473,C,-8.204,1.667,3.903,-6.416
wind_dir,wind_dir=東,261,ALL,ALL,ALL,ALL,ALL,東,ALL,ALL,0.375479,0.340996,0.099617,0.613027,B,-4.722,7.195,-1.52,2.14
wind_dir,wind_dir=無風,300,ALL,ALL,ALL,ALL,ALL,無風,ALL,ALL,0.443333,0.28,0.1,0.55,A,2.063,1.096,-1.482,-4.163
wind_dir,wind_dir=西,19,ALL,ALL,ALL,ALL,ALL,西,ALL,ALL,0.368421,0.368421,0.052632,0.473684,reference,-5.428,9.938,-6.219,-11.794
wind_speed,wind_speed_band=0_1m,1397,ALL,ALL,ALL,ALL,ALL,ALL,0_1m,ALL,0.447387,0.287044,0.093772,0.576235,A,2.469,1.8,-2.105,-1.539
wind_speed,wind_speed_band=2_3m,2134,ALL,ALL,ALL,ALL,ALL,ALL,2_3m,ALL,0.409091,0.27179,0.117151,0.583411,A,-1.361,0.275,0.233,-0.822
wind_speed,wind_speed_band=4_5m,1250,ALL,ALL,ALL,ALL,ALL,ALL,4_5m,ALL,0.424,0.244,0.1224,0.624,A,0.13,-2.504,0.758,3.237
wind_speed,wind_speed_band=6m_plus,363,ALL,ALL,ALL,ALL,ALL,ALL,6m_plus,ALL,0.402204,0.283747,0.118457,0.595041,A,-2.05,1.47,0.364,0.341
wind_speed,wind_speed_band=unknown,160,ALL,ALL,ALL,ALL,ALL,ALL,unknown,ALL,0.425,0.2375,0.2,0.575,B,0.23,-3.154,8.518,-1.663
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=unknown,80,ALL,ALL,上げ潮,ALL,ALL,unknown,ALL,ALL,0.475,0.25,0.15,0.6,C,5.23,-1.904,3.518,0.837
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=北,534,ALL,ALL,上げ潮,ALL,ALL,北,ALL,ALL,0.43633,0.254682,0.131086,0.644195,A,1.363,-1.436,1.627,5.257
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=北東,198,ALL,ALL,上げ潮,ALL,ALL,北東,ALL,ALL,0.444444,0.242424,0.141414,0.59596,B,2.174,-2.662,2.659,0.433
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=北西,35,ALL,ALL,上げ潮,ALL,ALL,北西,ALL,ALL,0.428571,0.4,0.028571,0.542857,reference,0.587,13.096,-8.625,-4.877
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=南,1383,ALL,ALL,上げ潮,ALL,ALL,南,ALL,ALL,0.444685,0.257411,0.097614,0.579176,A,2.199,-1.163,-1.721,-1.245
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=南東,421,ALL,ALL,上げ潮,ALL,ALL,南東,ALL,ALL,0.434679,0.273159,0.099762,0.60095,A,1.198,0.412,-1.506,0.932
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=南西,40,ALL,ALL,上げ潮,ALL,ALL,南西,ALL,ALL,0.3,0.325,0.15,0.55,reference,-12.27,5.596,3.518,-4.163
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=東,155,ALL,ALL,上げ潮,ALL,ALL,東,ALL,ALL,0.374194,0.374194,0.096774,0.612903,B,-4.851,10.515,-1.805,2.127
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=無風,161,ALL,ALL,上げ潮,ALL,ALL,無風,ALL,ALL,0.440994,0.304348,0.111801,0.57764,B,1.829,3.531,-0.302,-1.399
tide_direction_x_wind_dir,tide_direction=上げ潮|wind_dir=西,13,ALL,ALL,上げ潮,ALL,ALL,西,ALL,ALL,0.384615,0.384615,0.076923,0.538462,reference,-3.808,11.557,-3.79,-5.317
tide_direction_x_wind_dir,tide_direction=下げ潮|wind_dir=unknown,80,ALL,ALL,下げ潮,ALL,ALL,unknown,ALL,ALL,0.375,0.225,0.25,0.55,C,-4.77,-4.404,13.518,-4.163
tide_direction_x_wind_dir,tide_direction=下げ潮|wind_dir=北,469,ALL,ALL,下げ潮,ALL,ALL,北,ALL,ALL,0.353945,0.285714,0.179104,0.665245,A,-6.875,1.667,6.428,7.362
tide_direction_x_wind_dir,tide_direction=下げ潮|wind_dir=北東,212,ALL,ALL,下げ潮,ALL,ALL,北東,ALL,ALL,0.410377,0.301887,0.09434,0.59434,B,-1.232,3.284,-2.048,0.271
