player_id,player_name,player_type,primary_course,starts,top3_rate,top3_vs_course_avg,course_strength,reliability
3072.0,西　田　　　　靖,イン安定型,1,28,78.57,3.17,得意,A
3978.0,齊　藤　　　　仁,2コース差し/残り型,2,26,80.77,22.13,得意,A
3227.0,長　岡　　茂　一,4カド攻撃型,4,6,66.67,17.7,得意,C
3534.0,野　澤　　大　二,4カド攻撃型,4,7,71.43,22.46,得意,C
4128.0,川　口　　貴　久,イン安定型,1,10,80.0,4.6,得意,B
4140.0,梶　野　　学　志,4カド攻撃型,4,19,73.68,24.71,得意,B
3805.0,高　橋　　英　之,4カド攻撃型,4,18,55.56,6.59,やや得意,B
4792.0,杉　村　　賢　也,イン安定型,1,12,66.67,-8.73,得意,B
4734.0,安河内　　　　将,標準/要当日展示,6,6,83.33,51.3,得意,C
4086.0,寺　本　　重　宣,4カド攻撃型,4,9,88.89,39.92,得意,C
3090.0,土　屋　　　　昭,標準/要当日展示,3,4,75.0,22.2,少数参考,参考
3524.0,小　林　　大　輔,標準/要当日展示,1,3,100.0,24.6,少数参考,参考
4807.0,岡　　　　悠　平,標準/要当日展示,5,6,16.67,-20.45,苦手,C
4145.0,小　澤　　　　学,標準/要当日展示,6,11,36.36,4.33,やや得意,B
3293.0,宮　内　　由紀英,標準/要当日展示,4,18,50.0,1.03,標準,B
3488.0,柳　田　　英　明,4カド攻撃型,4,5,100.0,51.03,得意,C
4083.0,福　島　　勇　樹,2コース差し/残り型,2,19,68.42,9.78,得意,B
4152.0,深　水　　慎一郎,2コース差し/残り型,2,21,66.67,8.03,得意,A
3911.0,鈴　木　　　　猛,イン安定型,1,24,83.33,7.93,得意,A
3800.0,牧　　　　宏　次,2コース差し/残り型,2,11,81.82,23.18,得意,B
3505.0,山　田　　竜　一,2コース差し/残り型,2,29,72.41,13.77,得意,A
4676.0,後　藤　　隼　之,2コース差し/残り型,2,13,69.23,10.59,得意,B
3277.0,齋　藤　　　　勇,5コース残り型,5,12,50.0,12.88,得意,B
