player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4792.0,杉　村　　賢　也,5,22,0.0,4.55,9.09,13.64,0.185,0.08,0.32,13.64,37.12,-23.48,0,0.0,苦手,A
4807.0,岡　　　　悠　平,5,6,0.0,0.0,16.67,16.67,0.197,0.06,0.39,16.67,37.12,-20.45,0,0.0,苦手,C
3293.0,宮　内　　由紀英,1,20,10.0,25.0,15.0,50.0,0.164,0.02,0.3,25.0,75.4,-25.4,0,0.0,苦手,A
3800.0,牧　　　　宏　次,6,10,0.0,0.0,20.0,20.0,0.211,0.1,0.46,10.0,32.03,-12.03,0,0.0,苦手,B
3277.0,齋　藤　　　　勇,3,16,0.0,31.25,6.25,37.5,0.149,0.09,0.22,31.25,52.8,-15.3,0,0.0,苦手,B
3812.0,山　崎　　聖　司,2,13,0.0,23.08,15.38,38.46,0.161,0.07,0.25,0.0,58.64,-20.18,0,0.0,苦手,B
4807.0,岡　　　　悠　平,6,9,0.0,0.0,0.0,0.0,0.193,0.04,0.47,22.22,32.03,-32.03,0,0.0,苦手,C
4145.0,小　澤　　　　学,3,15,6.67,6.67,0.0,13.33,0.249,0.15,0.38,0.0,52.8,-39.47,0,0.0,苦手,B
3805.0,高　橋　　英　之,6,16,0.0,0.0,18.75,18.75,0.117,0.05,0.25,25.0,32.03,-13.28,0,0.0,苦手,B
3277.0,齋　藤　　　　勇,1,17,29.41,0.0,29.41,58.82,0.162,0.04,0.4,35.29,75.4,-16.58,0,0.0,苦手,B
3090.0,土　屋　　　　昭,2,5,0.0,0.0,0.0,0.0,0.248,0.16,0.33,0.0,58.64,-58.64,0,0.0,苦手,C
3072.0,西　田　　　　靖,3,31,12.9,9.68,19.35,41.94,0.142,0.03,0.23,25.81,52.8,-10.86,0,0.0,苦手,A
4676.0,後　藤　　隼　之,4,9,0.0,11.11,11.11,22.22,0.181,0.11,0.25,0.0,48.97,-26.75,0,0.0,苦手,C
3293.0,宮　内　　由紀英,3,20,5.0,5.0,15.0,25.0,0.188,0.06,0.31,5.0,52.8,-27.8,0,0.0,苦手,A
4792.0,杉　村　　賢　也,6,24,0.0,8.33,8.33,16.67,0.193,0.09,0.31,0.0,32.03,-15.36,0,0.0,苦手,A
3072.0,西　田　　　　靖,2,38,5.26,18.42,21.05,44.74,0.143,0.01,0.5,18.42,58.64,-13.9,0,0.0,苦手,A
4145.0,小　澤　　　　学,2,19,5.26,15.79,15.79,36.84,0.245,0.14,0.37,0.0,58.64,-21.8,0,0.0,苦手,B
4059.0,入　澤　　友　治,3,15,13.33,20.0,6.67,40.0,0.14,0.01,0.22,26.67,52.8,-12.8,0,0.0,苦手,B
4128.0,川　口　　貴　久,4,12,8.33,0.0,16.67,25.0,0.129,0.03,0.3,33.33,48.97,-23.97,0,0.0,苦手,B
3812.0,山　崎　　聖　司,3,14,7.14,14.29,14.29,35.71,0.157,0.01,0.27,14.29,52.8,-17.09,0,0.0,苦手,B
3293.0,宮　内　　由紀英,2,21,9.52,9.52,14.29,33.33,0.207,0.04,0.37,0.0,58.64,-25.31,0,0.0,苦手,A
3812.0,山　崎　　聖　司,1,13,23.08,23.08,15.38,61.54,0.152,0.01,0.35,23.08,75.4,-13.86,0,0.0,苦手,B
4128.0,川　口　　貴　久,6,11,0.0,0.0,9.09,9.09,0.179,0.11,0.29,27.27,32.03,-22.94,0,0.0,苦手,B
4792.0,杉　村　　賢　也,4,18,5.56,16.67,16.67,38.89,0.161,0.07,0.24,16.67,48.97,-10.08,0,0.0,苦手,B
4059.0,入　澤　　友　治,4,16,12.5,18.75,6.25,37.5,0.124,0.03,0.22,18.75,48.97,-11.47,0,0.0,苦手,B
3812.0,山　崎　　聖　司,4,11,0.0,0.0,0.0,0.0,0.209,0.11,0.32,0.0,48.97,-48.97,0,0.0,苦手,B
3202.0,三　品　　隆　浩,4,21,0.0,19.05,9.52,28.57,0.135,0.06,0.23,14.29,48.97,-20.4,0,0.0,苦手,A
4676.0,後　藤　　隼　之,1,13,7.69,23.08,23.08,53.85,0.145,0.06,0.3,30.77,75.4,-21.55,0,0.0,苦手,B
3293.0,宮　内　　由紀英,6,14,0.0,0.0,7.14,7.14,0.238,0.08,0.41,7.14,32.03,-24.89,0,0.0,苦手,B
3202.0,三　品　　隆　浩,6,18,0.0,11.11,5.56,16.67,0.179,0.07,0.25,0.0,32.03,-15.36,0,0.0,苦手,B
3812.0,山　崎　　聖　司,6,17,0.0,0.0,17.65,17.65,0.171,0.11,0.25,5.88,32.03,-14.38,0,0.0,苦手,B
3293.0,宮　内　　由紀英,5,18,5.56,5.56,5.56,16.67,0.206,0.1,0.31,0.0,37.12,-20.45,0,0.0,苦手,B
3072.0,西　田　　　　靖,4,23,13.04,8.7,13.04,34.78,0.161,0.01,0.31,21.74,48.97,-14.19,0,0.0,苦手,A
4022.0,待　鳥　　雄　紀,4,8,0.0,25.0,12.5,37.5,0.115,0.04,0.2,25.0,48.97,-11.47,0,0.0,苦手,C
4515.0,藤　田　　浩　人,2,10,10.0,0.0,20.0,30.0,0.196,0.1,0.27,10.0,58.64,-28.64,0,0.0,苦手,B
4423.0,坂　口　　貴　彦,6,10,0.0,20.0,0.0,20.0,0.183,0.03,0.32,30.0,32.03,-12.03,0,0.0,苦手,B
3313.0,本　吉　　正　樹,1,10,20.0,30.0,10.0,60.0,0.177,0.06,0.31,20.0,75.4,-15.4,0,0.0,苦手,B
3708.0,岡　部　　貴　司,4,6,0.0,16.67,16.67,33.33,0.172,0.1,0.28,50.0,48.97,-15.64,0,0.0,苦手,C
4515.0,藤　田　　浩　人,5,10,0.0,10.0,10.0,20.0,0.166,0.04,0.27,10.0,37.12,-17.12,0,0.0,苦手,B
