source_group,source_file,source_row_no,avg_st,avg_tenji_time,boat_no,boat_rows,center_win_rate,course,created_at,cutoff_date,finish_order,first_count,first_course,first_rate,heiwajima_player_score,hit_rate,in3_count,in3_rate,inside_win_rate,is_center_head,is_escape_1,is_inside_lost,is_outer_3rd,motor_no,outside_3rd_rate,player_name,power_score,race_count,race_date_max,race_date_min,reg_no,sample_warning,second_count,second_course,second_rate,source,st_bin,st_stability,st_std,starts,tenji_bin,third_count,third_course,third_rate,top2_rate,top3_count,top3_rate,usage_note,win_count,win_rate
basic_master,heiwajima_course_master.csv,1,0.1439,6.8196,,,,1,,,,2650,,0.4525,,,4459,0.7614,,,,,,,,,,,,,,,1131,,0.1931,,,,,5856,,678,,0.1158,,,,,,
basic_master,heiwajima_course_master.csv,2,0.1539,6.842,,,,2,,,,1000,,0.1697,,,3503,0.5945,,,,,,,,,,,,,,,1339,,0.2273,,,,,5892,,1164,,0.1976,,,,,,
basic_master,heiwajima_course_master.csv,3,0.1499,6.8525,,,,3,,,,879,,0.1496,,,3086,0.5254,,,,,,,,,,,,,,,1124,,0.1914,,,,,5874,,1083,,0.1844,,,,,,
basic_master,heiwajima_course_master.csv,4,0.1499,6.8435,,,,4,,,,745,,0.1269,,,2858,0.4867,,,,,,,,,,,,,,,1054,,0.1795,,,,,5872,,1059,,0.1803,,,,,,
basic_master,heiwajima_course_master.csv,5,0.1546,6.8508,,,,5,,,,445,,0.0758,,,2173,0.3701,,,,,,,,,,,,,,,754,,0.1284,,,,,5871,,974,,0.1659,,,,,,
basic_master,heiwajima_course_master.csv,6,0.1671,6.8553,,,,6,,,,258,,0.0438,,,1849,0.3142,,,,,,,,,,,,,,,575,,0.0977,,,,,5885,,1016,,0.1726,,,,,,
basic_master,heiwajima_player_master.csv,1,0.113,6.908,,,1.0,,,,,,,,0.8976,,,,0.75,,,,,,0.0,羽　野　　直　也,,,,,4831,,3,,0.3,,,0.8631,0.0219,10,,0,,0.0,,10,1.0,,7,0.7
basic_master,heiwajima_player_master.csv,2,0.1471,6.7776,,,1.0,,,,,,,,0.8139,,,,0.8333,,,,,,0.2,小　池　　修　平,,,,,4907,,2,,0.1176,,,0.7019,0.0477,17,,1,,0.0588,,15,0.8824,,12,0.7059
basic_master,heiwajima_player_master.csv,3,0.099,6.777,,,0.3333,,,,,,,,0.8041,,,,1.0,,,,,,0.3333,菊　地　　孝　平,,,,,3960,,2,,0.2,,,0.8538,0.0234,10,,2,,0.2,,10,1.0,,6,0.6
basic_master,heiwajima_player_master.csv,4,0.154,6.75,,,0.5,,,,,,,,0.8006,,,,1.0,,,,,,0.0,定　松　　勇　樹,,,,,5121,,2,,0.2,,,0.5031,0.0795,10,,0,,0.0,,10,1.0,,8,0.8
basic_master,heiwajima_player_master.csv,5,0.12,6.7494,,,1.0,,,,,,,,0.7935,,,,0.75,,,,,,0.375,中　辻　　崇　人,,,,,3876,,5,,0.3125,,,0.5925,0.0652,16,,3,,0.1875,,16,1.0,,8,0.5
