source_group,source_file,source_row_no,center_attack_bias_label,center_head_rate,condition_race_count,course,course2_bias_label,course2_head_rate,course3_head_rate,course4_head_rate,decided_course,escape_1_rate,finish_order,first_count,first_lift,first_rate,hit_rate_in_condition,in3_count,in3_lift,in3_rate,in_escape_bias_label,kimarite_group,outer_3rd_bias_label,outside_3rd_rate,prior_race_count,race_count,race_date,race_no,race_time_band,recent3_1_head_rate,recent3_center_head_rate,recent3_outer_3rd_rate,recent3_roughness_rate,reliability_rank,roughness_bias_label,same_day_trend_label,sample_warning,second_count,second_lift,second_rate,starts,third_count,third_lift,third_rate,tide_condition_label,tide_phase,tide_strength,today_1_escape_rate,today_1_head_lift,today_1_head_rate,today_center_attack_win_rate,today_center_head_lift,today_center_head_rate,today_course2_sashi_win_rate,today_course2_top2_lift,today_course2_top2_rate,today_course2_win_rate,today_inside_lost_rate,today_main_kimarite,today_main_kimarite_rate,today_outer_3rd_lift,today_outer_3rd_rate,today_outer_head_rate,today_outer_in3_rate,today_roughness_lift,today_roughness_rate,water_condition_label,wave_band,wave_height,weather,wind_direction,wind_direction_group,wind_speed,wind_speed_band
surface_development,heiwajima_tide_condition_db_v1.2.csv,1,,0.1278,,3,,0.0,0.1278,0.0,,0.0,,58,-0.0218,0.1278,,217,-0.0474,0.478,,,,0.0,,,,,late,,,,,A,,,,85,-0.0042,0.1872,454,74,-0.0214,0.163,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,2,,0.0,,5,,0.0,0.0,0.0,,0.0,,28,-0.014,0.0618,,158,-0.0213,0.3488,,,,0.1589,,,,,late,,,,,A,,,,58,-0.0004,0.128,453,72,-0.007,0.1589,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,3,,0.0909,,4,,0.0,0.0,0.0909,,0.0,,41,-0.036,0.0909,,209,-0.0233,0.4634,,,,0.0,,,,,late,,,,,A,,,,82,0.0023,0.1818,451,86,0.0104,0.1907,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,4,,0.0,,6,,0.0,0.0,0.0,,0.0,,14,-0.0128,0.031,,135,-0.0149,0.2993,,,,0.1951,,,,,late,,,,,A,,,,33,-0.0245,0.0732,451,88,0.0225,0.1951,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,5,,0.0,,2,,0.1244,0.0,0.0,,0.0,,56,-0.0453,0.1244,,275,0.0166,0.6111,,,,0.0,,,,,late,,,,,A,,,,128,0.0571,0.2844,450,91,0.0046,0.2022,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,6,,0.0,,1,,0.0,0.0,0.0,,0.5835,,262,0.131,0.5835,,383,0.0916,0.853,,,,0.0,,,,,late,,,,,A,,,,73,-0.0305,0.1626,449,48,-0.0089,0.1069,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,7,,0.1926,,4,,0.0,0.0,0.1926,,0.0,,68,0.0657,0.1926,,187,0.043,0.5297,,,,0.0,,,,,middle,,,,,A,,,,66,0.0075,0.187,353,53,-0.0302,0.1501,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,8,,0.0,,1,,0.0,0.0,0.0,,0.3722,,131,-0.0803,0.3722,,253,-0.0426,0.7188,,,,0.0,,,,,middle,,,,,A,,,,71,0.0086,0.2017,352,51,0.0291,0.1449,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,9,,0.0,,5,,0.0,0.0,0.0,,0.0,,22,-0.0133,0.0625,,122,-0.0235,0.3466,,,,0.1733,,,,,middle,,,,,A,,,,39,-0.0176,0.1108,352,61,0.0074,0.1733,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
surface_development,heiwajima_tide_condition_db_v1.2.csv,10,,0.0,,2,,0.1652,0.0,0.0,,0.0,,58,-0.0045,0.1652,,200,-0.0247,0.5698,,,,0.0,,,,,middle,,,,,A,,,,73,-0.0193,0.208,351,69,-0.001,0.1966,rising_strong,rising_tide_middle,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,
