player_id,player_name,lane,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,entry_shift_count,entry_shift_rate,reliability
3072.0,西　田　　　　靖,1,28,50.0,17.86,10.71,78.57,0.13,0.02,0.26,50.0,0,0.0,A
3978.0,齊　藤　　　　仁,2,26,38.46,38.46,3.85,80.77,0.127,0.06,0.26,23.08,0,0.0,A
3227.0,長　岡　　茂　一,3,9,33.33,44.44,0.0,77.78,0.136,0.06,0.23,33.33,0,0.0,C
3534.0,野　澤　　大　二,4,7,0.0,42.86,28.57,71.43,0.151,0.06,0.25,14.29,0,0.0,C
4128.0,川　口　　貴　久,5,9,0.0,11.11,22.22,33.33,0.119,0.01,0.18,22.22,0,0.0,C
4140.0,梶　野　　学　志,6,15,0.0,20.0,26.67,46.67,0.133,0.07,0.25,13.33,0,0.0,B
3805.0,高　橋　　英　之,3,19,21.05,36.84,15.79,73.68,0.116,0.04,0.23,26.32,0,0.0,B
4792.0,杉　村　　賢　也,5,22,0.0,4.55,9.09,13.64,0.185,0.08,0.32,13.64,0,0.0,A
4734.0,安河内　　　　将,6,6,0.0,33.33,50.0,83.33,0.158,0.05,0.28,33.33,0,0.0,C
4086.0,寺　本　　重　宣,1,13,46.15,23.08,0.0,69.23,0.113,0.02,0.22,46.15,0,0.0,B
3090.0,土　屋　　　　昭,3,4,0.0,25.0,50.0,75.0,0.238,0.16,0.33,0.0,0,0.0,参考
3524.0,小　林　　大　輔,4,3,0.0,66.67,0.0,66.67,0.243,0.16,0.32,33.33,0,0.0,参考
4807.0,岡　　　　悠　平,5,6,0.0,0.0,16.67,16.67,0.197,0.06,0.39,16.67,0,0.0,C
4145.0,小　澤　　　　学,6,11,0.0,0.0,36.36,36.36,0.255,0.17,0.38,0.0,0,0.0,B
3293.0,宮　内　　由紀英,1,20,10.0,25.0,15.0,50.0,0.164,0.02,0.3,25.0,0,0.0,A
3488.0,柳　田　　英　明,2,4,50.0,50.0,0.0,100.0,0.122,0.06,0.25,50.0,0,0.0,参考
4083.0,福　島　　勇　樹,3,19,31.58,21.05,21.05,73.68,0.131,0.05,0.22,47.37,0,0.0,B
4152.0,深　水　　慎一郎,4,22,13.64,22.73,13.64,50.0,0.165,0.04,0.29,9.09,0,0.0,A
3911.0,鈴　木　　　　猛,5,21,19.05,9.52,9.52,38.1,0.147,0.04,0.25,23.81,0,0.0,A
3800.0,牧　　　　宏　次,6,10,0.0,0.0,20.0,20.0,0.211,0.1,0.46,10.0,0,0.0,B
3505.0,山　田　　竜　一,1,36,55.56,16.67,5.56,77.78,0.125,0.02,0.26,50.0,0,0.0,A
4676.0,後　藤　　隼　之,2,13,23.08,23.08,23.08,69.23,0.129,0.06,0.26,30.77,0,0.0,B
3277.0,齋　藤　　　　勇,3,16,0.0,31.25,6.25,37.5,0.149,0.09,0.22,31.25,0,0.0,B
4759.0,今　泉　　友　吾,4,33,18.18,39.39,15.15,72.73,0.191,0.07,0.43,6.06,0,0.0,A
4077.0,品　田　　直　樹,5,13,0.0,0.0,30.77,30.77,0.193,0.12,0.28,15.38,0,0.0,B
4104.0,木　下　　陽　介,2,16,37.5,18.75,6.25,62.5,0.114,0.05,0.2,43.75,0,0.0,B
4430.0,永　田　　秀　二,3,17,17.65,23.53,35.29,76.47,0.167,0.04,0.35,11.76,0,0.0,B
4734.0,安河内　　　　将,4,6,16.67,33.33,0.0,50.0,0.148,0.08,0.22,0.0,0,0.0,C
3236.0,田　上　　晋　六,5,4,25.0,50.0,0.0,75.0,0.165,0.05,0.26,25.0,0,0.0,参考
4075.0,中　野　　次　郎,6,22,9.09,13.64,27.27,50.0,0.152,0.06,0.29,18.18,0,0.0,A
4535.0,北　山　　康　介,1,8,50.0,12.5,12.5,75.0,0.174,0.07,0.26,25.0,0,0.0,C
3812.0,山　崎　　聖　司,2,13,0.0,23.08,15.38,38.46,0.161,0.07,0.25,0.0,0,0.0,B
4140.0,梶　野　　学　志,3,19,42.11,26.32,10.53,78.95,0.135,0.04,0.23,15.79,0,0.0,B
3902.0,蜷　川　　哲　平,4,13,15.38,30.77,30.77,76.92,0.139,0.04,0.25,7.69,0,0.0,B
3940.0,飯　山　　　　泰,5,22,4.55,27.27,36.36,68.18,0.151,0.07,0.33,27.27,0,0.0,A
4807.0,岡　　　　悠　平,6,9,0.0,0.0,0.0,0.0,0.193,0.04,0.47,22.22,0,0.0,C
4059.0,入　澤　　友　治,2,14,35.71,28.57,0.0,64.29,0.131,0.06,0.25,21.43,0,0.0,B
3202.0,三　品　　隆　浩,3,25,12.0,12.0,24.0,48.0,0.167,0.07,0.26,12.0,0,0.0,A
3590.0,濱野谷　　憲　吾,4,26,42.31,23.08,3.85,69.23,0.149,0.06,0.28,26.92,0,0.0,A
3800.0,牧　　　　宏　次,5,10,0.0,10.0,40.0,50.0,0.167,0.06,0.29,20.0,0,0.0,B
4748.0,渡　邉　　雄　朗,6,6,16.67,0.0,16.67,33.33,0.105,0.05,0.18,50.0,0,0.0,C
3488.0,柳　田　　英　明,1,6,50.0,16.67,0.0,66.67,0.157,0.09,0.24,33.33,0,0.0,C
4145.0,小　澤　　　　学,3,15,6.67,6.67,0.0,13.33,0.249,0.15,0.38,0.0,0,0.0,B
4077.0,品　田　　直　樹,4,18,5.56,16.67,33.33,55.56,0.187,0.11,0.25,0.0,0,0.0,B
3534.0,野　澤　　大　二,5,6,0.0,33.33,0.0,33.33,0.193,0.16,0.29,16.67,0,0.0,C
3857.0,阿　波　　勝　哉,6,101,9.9,18.81,23.76,52.48,0.175,0.01,0.37,20.79,0,0.0,A
4152.0,深　水　　慎一郎,1,18,50.0,11.11,11.11,72.22,0.167,0.04,0.29,22.22,0,0.0,B
3227.0,長　岡　　茂　一,2,9,0.0,33.33,22.22,55.56,0.169,0.04,0.28,11.11,0,0.0,C
4104.0,木　下　　陽　介,3,21,28.57,14.29,0.0,42.86,0.128,0.02,0.29,28.57,0,0.0,A
4134.0,杉　山　　貴　博,4,14,21.43,21.43,28.57,71.43,0.165,0.12,0.27,14.29,0,0.0,B
3277.0,齋　藤　　　　勇,5,12,8.33,25.0,16.67,50.0,0.139,0.06,0.22,16.67,0,0.0,B
3805.0,高　橋　　英　之,6,16,0.0,0.0,18.75,18.75,0.117,0.05,0.25,25.0,0,0.0,B
3656.0,伯　母　　芳　恒,1,15,40.0,33.33,6.67,80.0,0.151,0.08,0.25,20.0,0,0.0,B
3902.0,蜷　川　　哲　平,2,12,8.33,41.67,16.67,66.67,0.167,0.11,0.24,0.0,0,0.0,B
3440.0,大　西　　源　喜,3,4,0.0,0.0,0.0,0.0,0.242,0.22,0.26,0.0,0,0.0,参考
3978.0,齊　藤　　　　仁,4,22,36.36,18.18,13.64,68.18,0.148,0.07,0.26,31.82,0,0.0,A
4759.0,今　泉　　友　吾,5,34,17.65,26.47,29.41,73.53,0.161,0.06,0.31,11.76,0,0.0,A
3911.0,鈴　木　　　　猛,6,17,0.0,17.65,11.76,29.41,0.184,0.07,0.28,17.65,0,0.0,B
3590.0,濱野谷　　憲　吾,1,37,64.86,18.92,2.7,86.49,0.128,0.02,0.24,35.14,0,0.0,A
3505.0,山　田　　竜　一,2,29,20.69,27.59,24.14,72.41,0.119,0.03,0.23,27.59,0,0.0,A
4086.0,寺　本　　重　宣,3,11,18.18,27.27,36.36,81.82,0.145,0.07,0.29,18.18,0,0.0,B
4075.0,中　野　　次　郎,4,22,18.18,27.27,27.27,72.73,0.124,0.01,0.22,31.82,0,0.0,A
4083.0,福　島　　勇　樹,5,21,14.29,19.05,28.57,61.9,0.125,0.01,0.21,38.1,0,0.0,A
3940.0,飯　山　　　　泰,6,18,11.11,11.11,22.22,44.44,0.139,0.08,0.25,22.22,0,0.0,B
3277.0,齋　藤　　　　勇,1,17,29.41,0.0,29.41,58.82,0.162,0.04,0.4,35.29,0,0.0,B
3202.0,三　品　　隆　浩,2,20,0.0,30.0,25.0,55.0,0.164,0.09,0.35,15.0,0,0.0,A
4083.0,福　島　　勇　樹,4,17,11.76,23.53,29.41,64.71,0.158,0.04,0.26,11.76,0,0.0,B
4535.0,北　山　　康　介,6,8,12.5,12.5,12.5,37.5,0.154,0.05,0.21,25.0,0,0.0,C
3138.0,椎　名　　政　浩,1,3,0.0,33.33,33.33,66.67,0.23,0.12,0.32,33.33,0,0.0,参考
3090.0,土　屋　　　　昭,2,5,0.0,0.0,0.0,0.0,0.248,0.16,0.33,0.0,0,0.0,C
4075.0,中　野　　次　郎,3,25,28.0,20.0,16.0,64.0,0.13,0.06,0.22,24.0,0,0.0,A
3812.0,山　崎　　聖　司,5,10,10.0,0.0,20.0,30.0,0.173,0.13,0.23,10.0,0,0.0,B
4152.0,深　水　　慎一郎,6,10,0.0,10.0,30.0,40.0,0.179,0.08,0.24,0.0,0,0.0,B
3524.0,小　林　　大　輔,1,3,0.0,33.33,66.67,100.0,0.17,0.13,0.23,33.33,0,0.0,参考
3940.0,飯　山　　　　泰,2,25,36.0,12.0,24.0,72.0,0.123,0.06,0.24,28.0,0,0.0,A
3072.0,西　田　　　　靖,3,31,12.9,9.68,19.35,41.94,0.142,0.03,0.23,25.81,0,0.0,A
4676.0,後　藤　　隼　之,4,9,0.0,11.11,11.11,22.22,0.181,0.11,0.25,0.0,0,0.0,C
4734.0,安河内　　　　将,5,4,25.0,0.0,25.0,50.0,0.15,0.03,0.21,25.0,0,0.0,参考
4059.0,入　澤　　友　治,1,17,41.18,23.53,11.76,76.47,0.143,0.01,0.26,29.41,0,0.0,B
4140.0,梶　野　　学　志,2,19,21.05,21.05,15.79,57.89,0.153,0.06,0.27,0.0,0,0.0,B
3293.0,宮　内　　由紀英,3,20,5.0,5.0,15.0,25.0,0.188,0.06,0.31,5.0,0,0.0,A
3656.0,伯　母　　芳　恒,4,10,10.0,10.0,30.0,50.0,0.151,0.04,0.26,20.0,0,0.0,B
3505.0,山　田　　竜　一,6,26,0.0,7.69,26.92,34.62,0.155,0.05,0.24,11.54,0,0.0,A
4128.0,川　口　　貴　久,1,10,50.0,20.0,10.0,80.0,0.106,0.03,0.15,40.0,0,0.0,B
4748.0,渡　邉　　雄　朗,2,10,50.0,20.0,10.0,80.0,0.119,0.04,0.18,20.0,0,0.0,B
3911.0,鈴　木　　　　猛,3,21,14.29,19.05,23.81,57.14,0.159,0.02,0.34,14.29,0,0.0,A
4807.0,岡　　　　悠　平,4,3,0.0,0.0,0.0,0.0,0.22,0.14,0.29,33.33,0,0.0,参考
4104.0,木　下　　陽　介,5,17,5.88,17.65,5.88,29.41,0.126,0.07,0.23,35.29,0,0.0,B
4077.0,品　田　　直　樹,6,10,0.0,0.0,30.0,30.0,0.206,0.14,0.26,0.0,0,0.0,B
3800.0,牧　　　　宏　次,1,10,40.0,40.0,10.0,90.0,0.102,0.02,0.18,40.0,0,0.0,B
4086.0,寺　本　　重　宣,2,13,7.69,46.15,7.69,61.54,0.148,0.07,0.3,7.69,0,0.0,B
3978.0,齊　藤　　　　仁,3,27,14.81,37.04,22.22,74.07,0.129,0.05,0.23,18.52,0,0.0,A
3236.0,田　上　　晋　六,4,6,0.0,0.0,50.0,50.0,0.133,0.05,0.22,16.67,0,0.0,C
4134.0,杉　山　　貴　博,5,10,10.0,10.0,30.0,50.0,0.184,0.05,0.53,20.0,0,0.0,B
4792.0,杉　村　　賢　也,6,24,0.0,8.33,8.33,16.67,0.193,0.09,0.31,0.0,0,0.0,A
4430.0,永　田　　秀　二,1,15,33.33,26.67,20.0,80.0,0.153,0.05,0.27,20.0,0,0.0,B
3072.0,西　田　　　　靖,2,38,5.26,18.42,21.05,44.74,0.143,0.01,0.5,18.42,0,0.0,A
3590.0,濱野谷　　憲　吾,3,26,26.92,23.08,7.69,57.69,0.127,0.01,0.22,15.38,0,0.0,A
3902.0,蜷　川　　哲　平,6,16,0.0,18.75,6.25,25.0,0.22,0.11,0.34,0.0,0,0.0,B
3202.0,三　品　　隆　浩,1,27,40.74,29.63,18.52,88.89,0.161,0.05,0.28,25.93,0,0.0,A
4617.0,若　林　　　　友,2,3,0.0,0.0,0.0,0.0,0.183,0.1,0.3,33.33,0,0.0,参考
3940.0,飯　山　　　　泰,3,24,25.0,20.83,20.83,66.67,0.117,0.02,0.2,41.67,0,0.0,A
3488.0,柳　田　　英　明,4,5,20.0,20.0,60.0,100.0,0.152,0.07,0.28,20.0,0,0.0,C
3227.0,長　岡　　茂　一,5,9,11.11,33.33,22.22,66.67,0.174,0.02,0.38,11.11,0,0.0,C
3440.0,大　西　　源　喜,6,3,0.0,33.33,0.0,33.33,0.15,0.08,0.24,33.33,0,0.0,参考
4083.0,福　島　　勇　樹,1,19,84.21,5.26,5.26,94.74,0.091,0.01,0.17,63.16,0,0.0,B
4145.0,小　澤　　　　学,2,19,5.26,15.79,15.79,36.84,0.245,0.14,0.37,0.0,0,0.0,B
4059.0,入　澤　　友　治,3,15,13.33,20.0,6.67,40.0,0.14,0.01,0.22,26.67,0,0.0,B
4128.0,川　口　　貴　久,4,12,8.33,0.0,16.67,25.0,0.129,0.03,0.3,33.33,0,0.0,B
3805.0,高　橋　　英　之,5,15,13.33,26.67,20.0,60.0,0.107,0.04,0.18,53.33,0,0.0,B
3236.0,田　上　　晋　六,6,3,0.0,33.33,0.0,33.33,0.24,0.17,0.32,0.0,0,0.0,参考
3812.0,山　崎　　聖　司,3,14,7.14,14.29,14.29,35.71,0.157,0.01,0.27,14.29,0,0.0,B
4086.0,寺　本　　重　宣,4,9,22.22,44.44,22.22,88.89,0.128,0.06,0.22,0.0,0,0.0,C
3656.0,伯　母　　芳　恒,5,15,0.0,6.67,33.33,40.0,0.18,0.09,0.3,6.67,0,0.0,B
4676.0,後　藤　　隼　之,6,10,10.0,20.0,10.0,40.0,0.208,0.1,0.42,0.0,0,0.0,B
4140.0,梶　野　　学　志,1,24,66.67,20.83,0.0,87.5,0.123,0.05,0.26,45.83,0,0.0,A
3524.0,小　林　　大　輔,2,3,0.0,0.0,0.0,0.0,0.19,0.18,0.2,0.0,0,0.0,参考
3488.0,柳　田　　英　明,3,6,0.0,16.67,50.0,66.67,0.143,0.12,0.26,66.67,0,0.0,C
3590.0,濱野谷　　憲　吾,5,23,30.43,17.39,34.78,82.61,0.127,0.01,0.25,34.78,0,0.0,A
4134.0,杉　山　　貴　博,6,17,5.88,17.65,17.65,41.18,0.176,0.07,0.36,5.88,0,0.0,B
3978.0,齊　藤　　　　仁,1,37,78.38,10.81,0.0,89.19,0.131,0.02,0.26,29.73,0,0.0,A
3293.0,宮　内　　由紀英,2,21,9.52,9.52,14.29,33.33,0.207,0.04,0.37,0.0,0,0.0,A
4535.0,北　山　　康　介,3,8,25.0,12.5,50.0,87.5,0.149,0.1,0.25,12.5,0,0.0,C
3805.0,高　橋　　英　之,4,18,16.67,11.11,27.78,55.56,0.098,0.01,0.17,44.44,0,0.0,B
4075.0,中　野　　次　郎,5,17,5.88,11.76,11.76,29.41,0.125,0.07,0.22,11.76,0,0.0,B
3656.0,伯　母　　芳　恒,2,14,7.14,28.57,21.43,57.14,0.14,0.07,0.25,14.29,0,0.0,B
4748.0,渡　邉　　雄　朗,3,9,33.33,11.11,0.0,44.44,0.101,0.03,0.16,22.22,0,0.0,C
3911.0,鈴　木　　　　猛,4,22,4.55,13.64,22.73,40.91,0.163,0.05,0.29,9.09,0,0.0,A
4145.0,小　澤　　　　学,5,15,0.0,20.0,13.33,33.33,0.241,0.19,0.33,0.0,0,0.0,B
3812.0,山　崎　　聖　司,1,13,23.08,23.08,15.38,61.54,0.152,0.01,0.35,23.08,0,0.0,B
4077.0,品　田　　直　樹,2,16,12.5,18.75,31.25,62.5,0.191,0.1,0.31,6.25,0,0.0,B
3293.0,宮　内　　由紀英,4,18,11.11,16.67,22.22,50.0,0.199,0.09,0.32,5.56,0,0.0,B
3072.0,西　田　　　　靖,6,12,25.0,16.67,16.67,58.33,0.126,0.05,0.26,25.0,0,0.0,B
4075.0,中　野　　次　郎,2,18,44.44,27.78,5.56,77.78,0.101,0.04,0.19,44.44,0,0.0,B
4134.0,杉　山　　貴　博,3,16,37.5,25.0,18.75,81.25,0.136,0.07,0.27,25.0,0,0.0,B
4676.0,後　藤　　隼　之,5,11,0.0,9.09,18.18,27.27,0.151,0.03,0.25,9.09,0,0.0,B
3534.0,野　澤　　大　二,6,8,12.5,12.5,25.0,50.0,0.144,0.04,0.2,0.0,0,0.0,C
4152.0,深　水　　慎一郎,2,21,28.57,9.52,28.57,66.67,0.17,0.07,0.32,0.0,0,0.0,A
3902.0,蜷　川　　哲　平,3,14,21.43,21.43,42.86,85.71,0.186,0.14,0.26,0.0,0,0.0,B
3505.0,山　田　　竜　一,5,27,3.7,14.81,25.93,44.44,0.147,0.03,0.31,29.63,0,0.0,A
4128.0,川　口　　貴　久,6,11,0.0,0.0,9.09,9.09,0.179,0.11,0.29,27.27,0,0.0,B
3227.0,長　岡　　茂　一,1,9,55.56,11.11,11.11,77.78,0.179,0.11,0.28,33.33,0,0.0,C
3138.0,椎　名　　政　浩,3,3,0.0,0.0,33.33,33.33,0.21,0.15,0.32,33.33,0,0.0,参考
4792.0,杉　村　　賢　也,4,18,5.56,16.67,16.67,38.89,0.161,0.07,0.24,16.67,0,0.0,B
3090.0,土　屋　　　　昭,5,3,0.0,0.0,0.0,0.0,0.183,0.09,0.24,33.33,0,0.0,参考
3911.0,鈴　木　　　　猛,1,24,37.5,25.0,20.83,83.33,0.152,0.02,0.28,25.0,0,0.0,A
3805.0,高　橋　　英　之,2,18,33.33,5.56,11.11,50.0,0.114,0.04,0.22,22.22,0,0.0,B
3800.0,牧　　　　宏　次,3,13,23.08,23.08,23.08,69.23,0.168,0.05,0.35,15.38,0,0.0,B
4086.0,寺　本　　重　宣,5,15,20.0,13.33,26.67,60.0,0.137,0.05,0.23,26.67,0,0.0,B
4059.0,入　澤　　友　治,6,12,8.33,25.0,0.0,33.33,0.162,0.06,0.37,41.67,0,0.0,B
4077.0,品　田　　直　樹,1,19,47.37,26.32,15.79,89.47,0.135,0.06,0.24,36.84,0,0.0,B
4083.0,福　島　　勇　樹,2,19,26.32,31.58,10.53,68.42,0.125,0.05,0.22,42.11,0,0.0,B
3978.0,齊　藤　　　　仁,5,27,3.7,25.93,33.33,62.96,0.147,0.02,0.26,14.81,0,0.0,A
4430.0,永　田　　秀　二,6,13,0.0,23.08,15.38,38.46,0.193,0.05,0.41,30.77,0,0.0,B
4134.0,杉　山　　貴　博,1,18,77.78,16.67,0.0,94.44,0.118,0.02,0.32,55.56,0,0.0,B
4535.0,北　山　　康　介,2,11,18.18,18.18,18.18,54.55,0.188,0.12,0.34,9.09,0,0.0,B
3505.0,山　田　　竜　一,3,28,21.43,14.29,17.86,53.57,0.149,0.06,0.28,28.57,0,0.0,A
3072.0,西　田　　　　靖,5,21,23.81,4.76,9.52,38.1,0.133,0.02,0.25,47.62,0,0.0,A
3488.0,柳　田　　英　明,6,5,20.0,20.0,0.0,40.0,0.158,0.09,0.24,40.0,0,0.0,C
3902.0,蜷　川　　哲　平,1,12,66.67,8.33,16.67,91.67,0.169,0.09,0.42,58.33,0,0.0,B
4145.0,小　澤　　　　学,4,15,0.0,20.0,20.0,40.0,0.225,0.1,0.32,0.0,0,0.0,B
4140.0,梶　野　　学　志,5,18,11.11,22.22,16.67,50.0,0.133,0.05,0.21,5.56,0,0.0,B
3805.0,高　橋　　英　之,1,19,31.58,26.32,26.32,84.21,0.117,0.04,0.21,52.63,0,0.0,B
3440.0,大　西　　源　喜,2,4,25.0,0.0,50.0,75.0,0.228,0.17,0.3,25.0,0,0.0,参考
4128.0,川　口　　貴　久,3,11,18.18,18.18,18.18,54.55,0.125,0.01,0.3,45.45,0,0.0,B
3090.0,土　屋　　　　昭,4,3,0.0,33.33,33.33,66.67,0.14,0.04,0.19,0.0,0,0.0,参考
3202.0,三　品　　隆　浩,5,20,5.0,5.0,20.0,30.0,0.2,0.08,0.39,5.0,0,0.0,A
3590.0,濱野谷　　憲　吾,6,22,22.73,22.73,27.27,72.73,0.147,0.04,0.33,9.09,0,0.0,A
3940.0,飯　山　　　　泰,1,24,50.0,20.83,12.5,83.33,0.125,0.01,0.22,45.83,0,0.0,A
4152.0,深　水　　慎一郎,3,24,12.5,16.67,25.0,54.17,0.162,0.05,0.31,8.33,0,0.0,A
4059.0,入　澤　　友　治,4,16,12.5,18.75,6.25,37.5,0.124,0.03,0.22,18.75,0,0.0,B
3524.0,小　林　　大　輔,5,3,33.33,0.0,0.0,33.33,0.177,0.11,0.21,0.0,0,0.0,参考
