wind_speed_band,wave_band,race_time_group,night,stabilizer,headwind,races,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,outer_upset_rate
0_1,0_2,unknown,0,0,0,2873,64.08,12.01,3.72,6.79,13.4
0_1,0_2,unknown,0,0,1,819,65.81,10.99,3.66,5.62,13.92
2_3,0_2,unknown,0,0,0,2234,58.73,15.09,4.07,6.8,15.31
2_3,0_2,unknown,0,0,1,1950,64.05,11.23,3.54,6.56,14.62
4_5,3_5,unknown,0,0,0,363,55.1,13.77,5.79,7.71,17.63
4_5,3_5,unknown,0,0,1,1007,61.97,11.82,3.38,7.55,15.29
6_7,3_5,unknown,0,0,0,54,64.81,12.96,0.0,3.7,18.52
6_7,3_5,unknown,0,0,1,171,58.48,9.36,6.43,8.19,17.54
6_7,6_8,unknown,0,0,0,37,43.24,21.62,8.11,10.81,16.22
6_7,6_8,unknown,0,0,1,175,62.86,9.71,1.71,9.14,16.57
8_plus,6_8,unknown,0,0,0,34,52.94,14.71,5.88,14.71,11.76
8_plus,6_8,unknown,0,0,1,126,63.49,9.52,7.94,3.17,15.87
8_plus,9_12,unknown,0,0,0,10,60.0,20.0,0.0,10.0,10.0
8_plus,9_12,unknown,0,0,1,6,16.67,33.33,16.67,33.33,0.0
