lane,lane1_trust_band,lane2_sashi_band,lane5_remain_band,outside_attack_band,entry_course,starts,win_rate,second_rate,third_rate,top3_rate
1,35-54_中間,35未満_弱い,35未満_弱い,missing,1,1,0.0,0.0,0.0,0.0
1,35-54_中間,35未満_弱い,35未満_弱い,低リスク,1,522,0.0,0.0,0.0,0.0
1,55-74_信頼,35-54_中間,35-54_中間,中間,1.0,8,62.5,12.5,25.0,100.0
1,55-74_信頼,35-54_中間,35-54_中間,中間,2.0,1,0.0,0.0,100.0,100.0
1,55-74_信頼,35-54_中間,35未満_弱い,中間,1.0,6,100.0,0.0,0.0,100.0
1,55-74_信頼,35-54_中間,35未満_弱い,低リスク,1.0,2,50.0,50.0,0.0,100.0
1,55-74_信頼,35未満_弱い,35-54_中間,missing,1.0,11,72.73,27.27,0.0,100.0
1,55-74_信頼,35未満_弱い,35-54_中間,中間,1.0,857,71.88,17.04,7.58,96.5
1,55-74_信頼,35未満_弱い,35-54_中間,中間,2.0,6,33.33,16.67,50.0,100.0
1,55-74_信頼,35未満_弱い,35-54_中間,中間,3.0,2,0.0,50.0,50.0,100.0
1,55-74_信頼,35未満_弱い,35-54_中間,低リスク,1.0,86,60.47,18.6,12.79,91.86
1,55-74_信頼,35未満_弱い,35未満_弱い,missing,1,1,0.0,0.0,0.0,0.0
1,55-74_信頼,35未満_弱い,35未満_弱い,missing,1.0,38,63.16,13.16,15.79,92.11
1,55-74_信頼,35未満_弱い,35未満_弱い,中間,1.0,1973,68.22,16.17,9.07,93.46
1,55-74_信頼,35未満_弱い,35未満_弱い,中間,2.0,5,40.0,40.0,20.0,100.0
1,55-74_信頼,35未満_弱い,35未満_弱い,低リスク,1,194,0.0,0.0,0.0,0.0
1,55-74_信頼,35未満_弱い,35未満_弱い,低リスク,1.0,686,49.13,24.78,14.43,88.34
1,55-74_信頼,35未満_弱い,35未満_弱い,低リスク,2.0,1,0.0,0.0,0.0,0.0
1,55-74_信頼,35未満_弱い,35未満_弱い,低リスク,3.0,3,0.0,33.33,0.0,33.33
1,75以上_強信頼,35-54_中間,35-54_中間,missing,1.0,15,60.0,33.33,6.67,100.0
1,75以上_強信頼,35-54_中間,35-54_中間,中間,1.0,504,80.56,14.68,3.17,98.41
1,75以上_強信頼,35-54_中間,35-54_中間,中間,2.0,1,0.0,100.0,0.0,100.0
1,75以上_強信頼,35-54_中間,35-54_中間,低リスク,1.0,90,63.33,17.78,10.0,91.11
1,75以上_強信頼,35-54_中間,35-54_中間,低リスク,4.0,1,0.0,0.0,0.0,0.0
1,75以上_強信頼,35-54_中間,35未満_弱い,missing,1.0,1,0.0,0.0,0.0,0.0
1,75以上_強信頼,35-54_中間,35未満_弱い,中間,1.0,24,66.67,20.83,4.17,91.67
1,75以上_強信頼,35-54_中間,35未満_弱い,低リスク,1.0,12,16.67,41.67,16.67,75.0
1,75以上_強信頼,35未満_弱い,35-54_中間,missing,1.0,52,75.0,15.38,3.85,94.23
1,75以上_強信頼,35未満_弱い,35-54_中間,中間,1.0,3164,75.0,16.28,5.66,96.93
1,75以上_強信頼,35未満_弱い,35-54_中間,中間,2.0,6,16.67,50.0,33.33,100.0
1,75以上_強信頼,35未満_弱い,35-54_中間,中間,3.0,2,0.0,100.0,0.0,100.0
1,75以上_強信頼,35未満_弱い,35-54_中間,中間,4.0,2,100.0,0.0,0.0,100.0
1,75以上_強信頼,35未満_弱い,35-54_中間,低リスク,1.0,463,57.45,21.81,11.45,90.71
1,75以上_強信頼,35未満_弱い,35-54_中間,低リスク,2.0,2,0.0,0.0,100.0,100.0
1,75以上_強信頼,35未満_弱い,35-54_中間,低リスク,3.0,1,0.0,0.0,0.0,0.0
1,75以上_強信頼,35未満_弱い,35未満_弱い,missing,1.0,19,63.16,5.26,26.32,94.74
1,75以上_強信頼,35未満_弱い,35未満_弱い,中間,1.0,557,63.73,19.39,9.87,93.0
