motor_no,entry_course,starts,win_rate,second_rate,third_rate,top3_rate
11.0,1.0,159,74.21,15.72,6.92,96.86
11.0,2.0,123,20.33,37.4,24.39,82.11
11.0,3.0,114,22.81,31.58,24.56,78.95
11.0,4.0,112,16.07,22.32,33.93,72.32
11.0,5.0,100,10.0,20.0,30.0,60.0
11.0,6.0,62,1.61,8.06,41.94,51.61
12.0,1.0,140,65.71,12.86,11.43,90.0
12.0,2.0,102,12.75,35.29,25.49,73.53
12.0,3.0,104,17.31,27.88,28.85,74.04
12.0,4.0,96,14.58,30.21,25.0,69.79
12.0,5.0,92,6.52,25.0,28.26,59.78
12.0,6.0,57,1.75,10.53,40.35,52.63
13.0,1.0,100,61.0,15.0,12.0,88.0
13.0,2.0,98,15.31,32.65,22.45,70.41
13.0,3.0,93,16.13,23.66,32.26,72.04
13.0,4.0,83,14.46,16.87,34.94,66.27
13.0,5.0,70,1.43,30.0,32.86,64.29
13.0,6.0,41,4.88,7.32,39.02,51.22
14.0,1.0,136,63.24,20.59,9.56,93.38
14.0,2.0,117,17.95,40.17,23.93,82.05
14.0,3.0,121,12.4,38.84,26.45,77.69
14.0,4.0,90,16.67,25.56,26.67,68.89
14.0,5.0,85,10.59,32.94,22.35,65.88
14.0,6.0,65,4.62,15.38,23.08,43.08
15.0,1.0,132,59.09,22.73,10.61,92.42
15.0,2.0,118,11.02,36.44,21.19,68.64
15.0,3.0,113,12.39,30.09,23.01,65.49
15.0,4.0,106,11.32,20.75,33.02,65.09
15.0,5.0,90,10.0,17.78,35.56,63.33
15.0,6.0,66,1.52,16.67,37.88,56.06
16.0,1.0,121,66.12,17.36,13.22,96.69
16.0,2.0,111,13.51,36.04,29.73,79.28
16.0,3.0,121,18.18,28.1,33.06,79.34
16.0,4.0,87,11.49,20.69,34.48,66.67
16.0,5.0,85,9.41,14.12,28.24,51.76
16.0,6.0,72,4.17,9.72,33.33,47.22
17.0,1.0,154,62.99,27.27,3.9,94.16
17.0,2.0,120,15.83,30.0,27.5,73.33
17.0,3.0,101,13.86,35.64,29.7,79.21
17.0,4.0,108,9.26,25.0,29.63,63.89
17.0,5.0,98,7.14,21.43,32.65,61.22
17.0,6.0,54,1.85,16.67,27.78,46.3
18.0,1.0,159,72.33,15.72,8.81,96.86
18.0,2.0,123,21.14,38.21,20.33,79.67
18.0,3.0,102,13.73,30.39,30.39,74.51
18.0,4.0,114,16.67,19.3,33.33,69.3
18.0,5.0,87,12.64,22.99,25.29,60.92
18.0,6.0,74,5.41,12.16,37.84,55.41
19.0,1.0,133,67.67,21.05,6.02,94.74
19.0,2.0,114,16.67,35.09,26.32,78.07
19.0,3.0,107,16.82,30.84,30.84,78.5
19.0,4.0,111,14.41,27.93,28.83,71.17
19.0,5.0,94,11.7,18.09,30.85,60.64
19.0,6.0,55,9.09,3.64,34.55,47.27
20.0,1.0,146,61.64,23.29,6.85,91.78
20.0,2.0,115,21.74,33.04,24.35,79.13
20.0,3.0,114,15.79,31.58,21.93,69.3
20.0,4.0,106,16.98,24.53,29.25,70.75
20.0,5.0,76,3.95,22.37,34.21,60.53
20.0,6.0,51,3.92,15.69,27.45,47.06
21.0,1.0,161,69.57,15.53,9.94,95.03
21.0,2.0,120,23.33,30.0,24.17,77.5
21.0,3.0,111,25.23,29.73,25.23,80.18
21.0,4.0,111,10.81,27.93,31.53,70.27
21.0,5.0,99,11.11,15.15,34.34,60.61
21.0,6.0,66,3.03,13.64,43.94,60.61
22.0,1.0,149,65.77,21.48,9.4,96.64
22.0,2.0,114,14.91,35.96,27.19,78.07
22.0,3.0,125,19.2,28.0,31.2,78.4
22.0,4.0,118,12.71,28.81,26.27,67.8
22.0,5.0,80,15.0,18.75,27.5,61.25
22.0,6.0,65,1.54,20.0,32.31,53.85
23.0,1.0,156,64.74,20.51,6.41,91.67
23.0,2.0,114,15.79,33.33,32.46,81.58
23.0,3.0,113,14.16,35.4,32.74,82.3
23.0,4.0,108,10.19,25.93,36.11,72.22
23.0,5.0,83,2.41,18.07,32.53,53.01
23.0,6.0,73,1.37,23.29,38.36,63.01
24.0,1.0,129,66.67,19.38,9.3,95.35
24.0,2.0,114,16.67,38.6,28.07,83.33
24.0,3.0,100,12.0,33.0,30.0,75.0
