player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4497,桑原悠,1,60,83.33,8.33,6.67,98.33,0.12,0.01,0.24,56.67,86.47,11.86,0,0.0,得意,A
4374,永田義紘,2,5,20.0,20.0,60.0,100.0,0.096,0.02,0.19,20.0,57.97,42.03,0,0.0,得意,C
4603,谷川将太,3,26,7.69,42.31,38.46,88.46,0.127,0.04,0.21,26.92,54.51,33.95,1,3.85,得意,A
4416,三宅健太,4,8,0.0,12.5,62.5,75.0,0.19,0.11,0.25,0.0,45.78,29.22,0,0.0,得意,C
4148,枝尾賢,1,20,70.0,30.0,0.0,100.0,0.124,0.03,0.22,45.0,86.47,13.53,0,0.0,得意,A
4251,川崎誠志,3,4,25.0,50.0,0.0,75.0,0.205,0.11,0.34,0.0,54.51,20.49,0,0.0,少数参考,参考
4757,山田祐也,5,7,14.29,42.86,0.0,57.14,0.157,0.06,0.42,42.86,34.22,22.92,3,42.86,得意,C
3843,上之晃弘,4,26,19.23,23.08,30.77,73.08,0.175,0.09,0.36,19.23,45.78,27.3,5,19.23,得意,A
3566,川添英正,1,10,30.0,40.0,20.0,90.0,0.197,0.14,0.35,20.0,86.47,3.53,0,0.0,標準,B
4171,榎幸司,3,36,22.22,41.67,19.44,83.33,0.182,0.08,0.38,2.78,54.51,28.82,2,5.56,得意,A
4498,宮本夏樹,5,19,21.05,15.79,26.32,63.16,0.169,0.01,0.38,15.79,34.22,28.94,1,5.26,得意,B
4820,上野励,6,3,0.0,0.0,33.33,33.33,0.127,0.09,0.18,100.0,21.0,12.33,0,0.0,少数参考,参考
3936,三瀬譲,1,4,25.0,25.0,25.0,75.0,0.318,0.12,0.76,25.0,86.47,-11.47,0,0.0,少数参考,参考
3379,打越晶,2,4,0.0,75.0,25.0,100.0,0.238,0.11,0.46,0.0,57.97,42.03,1,25.0,少数参考,参考
4102,益田啓司,3,12,16.67,16.67,41.67,75.0,0.158,0.07,0.23,16.67,54.51,20.49,0,0.0,得意,B
4063,市橋卓士,1,19,89.47,5.26,0.0,94.74,0.122,0.04,0.22,52.63,86.47,8.27,0,0.0,得意,B
3614,谷勝幸,2,5,0.0,20.0,40.0,60.0,0.148,0.08,0.2,0.0,57.97,2.03,0,0.0,標準,C
4339,平瀬城啓,4,5,0.0,20.0,60.0,80.0,0.134,0.09,0.18,40.0,45.78,34.22,0,0.0,得意,C
