player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4390,松本弓雄,5,5,0.0,20.0,0.0,20.0,0.112,0.02,0.21,0.0,34.22,-14.22,2,40.0,苦手,C
4114,深澤達徳,5,5,0.0,0.0,20.0,20.0,0.194,0.13,0.31,0.0,34.22,-14.22,1,20.0,苦手,C
3964,宮地博士,3,14,7.14,21.43,0.0,28.57,0.168,0.04,0.32,7.14,54.51,-25.94,0,0.0,苦手,B
4110,小澤和也,3,8,0.0,12.5,25.0,37.5,0.13,0.08,0.19,0.0,54.51,-17.01,1,12.5,苦手,C
4041,小林基樹,5,5,0.0,0.0,20.0,20.0,0.194,0.09,0.32,0.0,34.22,-14.22,0,0.0,苦手,C
2958,井川正人,1,6,50.0,0.0,16.67,66.67,0.255,0.11,0.38,0.0,86.47,-19.8,0,0.0,苦手,C
4382,高山智至,3,6,0.0,0.0,33.33,33.33,0.198,0.09,0.31,16.67,54.51,-21.18,0,0.0,苦手,C
4110,小澤和也,4,5,0.0,0.0,20.0,20.0,0.176,0.11,0.23,0.0,45.78,-25.78,0,0.0,苦手,C
3905,天野友和,3,5,0.0,20.0,20.0,40.0,0.174,0.13,0.23,20.0,54.51,-14.51,1,20.0,苦手,C
4393,田中孝明,3,9,0.0,22.22,11.11,33.33,0.162,0.07,0.23,11.11,54.51,-21.18,3,33.33,苦手,C
4210,松村康太,5,5,0.0,0.0,20.0,20.0,0.172,0.12,0.21,0.0,34.22,-14.22,1,20.0,苦手,C
3518,倉田郁美,1,6,16.67,33.33,16.67,66.67,0.19,0.11,0.26,16.67,86.47,-19.8,0,0.0,苦手,C
3486,渋田治代,3,5,0.0,20.0,0.0,20.0,0.254,0.15,0.46,0.0,54.51,-34.51,0,0.0,苦手,C
3463,乙津康志,1,11,45.45,9.09,9.09,63.64,0.235,0.17,0.31,0.0,86.47,-22.83,0,0.0,苦手,B
3458,東健介,2,9,0.0,22.22,22.22,44.44,0.142,0.08,0.25,0.0,57.97,-13.53,0,0.0,苦手,C
3477,近藤稔也,1,9,44.44,11.11,11.11,66.67,0.207,0.15,0.31,11.11,86.47,-19.8,0,0.0,苦手,C
3339,泉具巳,3,5,0.0,40.0,0.0,40.0,0.132,0.07,0.19,40.0,54.51,-14.51,0,0.0,苦手,C
3432,宮迫暢彦,3,6,0.0,16.67,16.67,33.33,0.17,0.11,0.21,16.67,54.51,-21.18,0,0.0,苦手,C
4060,島田一生,3,6,0.0,0.0,16.67,16.67,0.138,0.01,0.21,33.33,54.51,-37.84,0,0.0,苦手,C
4560,庄司樹良々,2,7,0.0,0.0,42.86,42.86,0.169,0.11,0.35,14.29,57.97,-15.11,0,0.0,苦手,C
3741,松尾基成,4,14,7.14,14.29,0.0,21.43,0.158,0.03,0.32,28.57,45.78,-24.35,1,7.14,苦手,B
3742,宮地秀祈,2,5,0.0,40.0,0.0,40.0,0.18,0.05,0.24,0.0,57.97,-17.97,0,0.0,苦手,C
4093,吉田宗弘,4,6,0.0,0.0,33.33,33.33,0.24,0.19,0.34,0.0,45.78,-12.45,1,16.67,苦手,C
3491,富永茂,1,5,0.0,60.0,0.0,60.0,0.142,0.09,0.22,60.0,86.47,-26.47,0,0.0,苦手,C
4638,小林遼太,2,6,0.0,16.67,16.67,33.33,0.197,0.14,0.33,16.67,57.97,-24.64,0,0.0,苦手,C
3436,柏野幸二,3,5,0.0,20.0,20.0,40.0,0.086,0.08,0.09,80.0,54.51,-14.51,1,20.0,苦手,C
3757,畑和宏,2,7,28.57,14.29,0.0,42.86,0.133,0.01,0.27,28.57,57.97,-15.11,0,0.0,苦手,C
4164,岩永節也,3,21,0.0,23.81,19.05,42.86,0.187,0.08,0.32,4.76,54.51,-11.65,2,9.52,苦手,A
4222,山口高志,1,8,37.5,37.5,0.0,75.0,0.198,0.09,0.4,12.5,86.47,-11.47,0,0.0,苦手,C
4164,岩永節也,2,19,5.26,15.79,26.32,47.37,0.157,0.04,0.26,10.53,57.97,-10.6,0,0.0,苦手,B
4268,和合俊介,3,5,0.0,20.0,20.0,40.0,0.122,0.04,0.18,40.0,54.51,-14.51,0,0.0,苦手,C
3757,畑和宏,5,6,0.0,0.0,16.67,16.67,0.203,0.06,0.31,16.67,34.22,-17.55,1,16.67,苦手,C
4142,平野和明,1,5,40.0,20.0,0.0,60.0,0.148,0.08,0.21,0.0,86.47,-26.47,0,0.0,苦手,C
3748,小黒竜吾,3,5,0.0,20.0,20.0,40.0,0.17,0.14,0.2,0.0,54.51,-14.51,0,0.0,苦手,C
4686,丸野一樹,3,6,0.0,16.67,16.67,33.33,0.157,0.09,0.34,16.67,54.51,-21.18,1,16.67,苦手,C
4023,柴田友和,5,5,0.0,20.0,0.0,20.0,0.19,0.09,0.26,20.0,34.22,-14.22,0,0.0,苦手,C
3580,水口由紀,3,5,20.0,0.0,20.0,40.0,0.132,0.03,0.25,20.0,54.51,-14.51,0,0.0,苦手,C
4513,河野真也,1,8,25.0,25.0,12.5,62.5,0.199,0.11,0.26,25.0,86.47,-23.97,0,0.0,苦手,C
4014,片岡恵里,4,7,0.0,0.0,28.57,28.57,0.219,0.06,0.37,28.57,45.78,-17.21,0,0.0,苦手,C
3282,池本輝明,6,6,0.0,0.0,0.0,0.0,0.255,0.15,0.33,0.0,21.0,-21.0,2,33.33,苦手,C
4363,大野芳顕,4,9,0.0,0.0,22.22,22.22,0.151,0.11,0.19,33.33,45.78,-23.56,0,0.0,苦手,C
4635,峰重力也,5,5,0.0,0.0,20.0,20.0,0.128,0.09,0.2,20.0,34.22,-14.22,1,20.0,苦手,C
4106,坂井康嗣,3,7,0.0,42.86,0.0,42.86,0.176,0.08,0.26,0.0,54.51,-11.65,0,0.0,苦手,C
3812,山崎聖司,4,6,16.67,0.0,16.67,33.33,0.193,0.13,0.23,0.0,45.78,-12.45,0,0.0,苦手,C
4276,鈴木勝博,3,7,42.86,0.0,0.0,42.86,0.15,0.11,0.32,57.14,54.51,-11.65,1,14.29,苦手,C
4129,宇野博之,2,7,0.0,28.57,14.29,42.86,0.144,0.05,0.26,28.57,57.97,-15.11,0,0.0,苦手,C
3604,武藤綾子,2,5,0.0,0.0,40.0,40.0,0.198,0.16,0.22,0.0,57.97,-17.97,0,0.0,苦手,C
4487,三原司,2,10,10.0,10.0,10.0,30.0,0.186,0.15,0.26,10.0,57.97,-27.97,1,10.0,苦手,B
4034,西原明生,4,8,0.0,12.5,12.5,25.0,0.182,0.11,0.29,12.5,45.78,-20.78,0,0.0,苦手,C
4181,花本夏樹,2,7,0.0,28.57,14.29,42.86,0.201,0.14,0.29,14.29,57.97,-15.11,0,0.0,苦手,C
3211,北川敏弘,4,6,0.0,0.0,33.33,33.33,0.148,0.07,0.27,33.33,45.78,-12.45,0,0.0,苦手,C
3714,梶原正,5,6,0.0,0.0,16.67,16.67,0.122,0.07,0.19,66.67,34.22,-17.55,1,16.67,苦手,C
4452,松尾祭,2,5,0.0,40.0,0.0,40.0,0.212,0.12,0.38,20.0,57.97,-17.97,0,0.0,苦手,C
3722,西村秀樹,4,6,0.0,16.67,16.67,33.33,0.147,0.07,0.28,16.67,45.78,-12.45,0,0.0,苦手,C
3722,西村秀樹,5,5,0.0,0.0,20.0,20.0,0.17,0.04,0.27,20.0,34.22,-14.22,2,40.0,苦手,C
4294,古賀繁輝,3,5,20.0,20.0,0.0,40.0,0.162,0.09,0.38,20.0,54.51,-14.51,3,60.0,苦手,C
