motor_no,n,win_rate,top2_rate,top3_rate,avg_exhibition_time,avg_start_timing,avg_motor_2ren_rate,avg_motor_3ren_rate,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,deashi_score,nobi_score,mawariashi_score,motor_type,sample_reliability
11,939,0.17252396166134185,0.3343982960596379,0.5090521831735889,6.808785942492013,0.1659105431309904,,,0.0,0.0,0.0,0.0,0.13375931842385516,0.20362087326943556,0.17816826411075612,伸び型,1.0
12,871,0.16303099885189437,0.3168771526980482,0.4902411021814007,6.825579793340987,0.16489092996555685,,,0.0,0.0,0.0,0.0,0.1267508610792193,0.19609644087256028,0.17158438576349025,伸び型,1.0
13,942,0.15074309978768577,0.351380042462845,0.5276008492569002,6.816401273885351,0.15895966029723993,,,0.0,0.0,0.0,0.0,0.140552016985138,0.2110403397027601,0.18466029723991506,伸び型,1.0
14,950,0.13789473684210526,0.3336842105263158,0.5094736842105263,6.813536842105263,0.16657894736842105,,,0.0,0.0,0.0,0.0,0.13347368421052633,0.20378947368421052,0.1783157894736842,伸び型,1.0
15,876,0.14269406392694065,0.3013698630136986,0.4600456621004566,6.827888127853881,0.16518264840182648,,,0.0,0.0,0.0,0.0,0.12054794520547946,0.18401826484018266,0.1610159817351598,伸び型,1.0
16,956,0.18828451882845187,0.350418410041841,0.5010460251046025,6.808127615062761,0.16286610878661087,,,0.0,0.0,0.0,0.0,0.1401673640167364,0.20041841004184102,0.17536610878661085,伸び型,1.0
17,909,0.18921892189218922,0.3696369636963696,0.5401540154015402,6.80931793179318,0.1625962596259626,,,0.0,0.0,0.0,0.0,0.14785478547854786,0.2160616061606161,0.18905390539053904,伸び型,1.0
18,945,0.16296296296296298,0.3164021164021164,0.48994708994708996,6.805111111111111,0.16785185185185186,,,0.0,0.0,0.0,0.0,0.12656084656084657,0.195978835978836,0.17148148148148148,伸び型,1.0
19,919,0.191512513601741,0.3797606093579978,0.5342763873775843,6.8112513601741025,0.16409140369967357,,,0.0,0.0,0.0,0.0,0.15190424374319914,0.21371055495103375,0.1869967355821545,伸び型,1.0
20,931,0.18045112781954886,0.3523093447905478,0.5080558539205156,6.806756176154672,0.1658109559613319,,,0.0,0.0,0.0,0.0,0.14092373791621912,0.20322234156820623,0.17781954887218043,伸び型,1.0
21,897,0.1505016722408027,0.3311036789297659,0.5027870680044593,6.815986622073578,0.1643924191750279,,,0.0,0.0,0.0,0.0,0.13244147157190636,0.20111482720178372,0.17597547380156073,伸び型,1.0
22,913,0.13910186199342825,0.3198247535596933,0.4939759036144578,6.816812705366922,0.1629353778751369,,,0.0,0.0,0.0,0.0,0.12792990142387733,0.19759036144578312,0.17289156626506022,伸び型,1.0
23,941,0.14240170031880978,0.30818278427205104,0.5015940488841658,6.815154091392136,0.16885228480340064,,,0.0,0.0,0.0,0.0,0.12327311370882042,0.20063761955366632,0.17555791710945803,伸び型,1.0
24,843,0.16370106761565836,0.3155397390272835,0.4887307236061684,6.821767497034401,0.1717437722419929,,,0.0,0.0,0.0,0.0,0.1262158956109134,0.19549228944246738,0.17105575326215894,伸び型,1.0
25,873,0.14776632302405499,0.3024054982817869,0.4753722794959908,6.811179839633447,0.16065292096219932,,,0.0,0.0,0.0,0.0,0.12096219931271478,0.19014891179839633,0.16638029782359678,伸び型,1.0
26,824,0.15169902912621358,0.3131067961165049,0.4842233009708738,6.816347087378641,0.1659101941747573,,,0.0,0.0,0.0,0.0,0.12524271844660195,0.19368932038834952,0.1694781553398058,伸び型,1.0
27,817,0.1554467564259486,0.3072215422276622,0.4638922888616891,6.831615667074664,0.16533659730722156,,,0.0,0.0,0.0,0.0,0.12288861689106488,0.18555691554467565,0.16236230110159117,伸び型,1.0
28,922,0.18112798264642083,0.3644251626898048,0.5216919739696312,6.815650759219088,0.16129067245119308,,,0.0,0.0,0.0,0.0,0.1457700650759219,0.2086767895878525,0.1825921908893709,伸び型,1.0
29,819,0.14163614163614163,0.29181929181929184,0.4554334554334554,6.812454212454212,0.16704517704517705,,,0.0,0.0,0.0,0.0,0.11672771672771674,0.1821733821733822,0.1594017094017094,伸び型,1.0
30,801,0.15106117353308365,0.3096129837702871,0.4893882646691635,6.821585518102372,0.16988764044943822,,,0.0,0.0,0.0,0.0,0.12384519350811485,0.19575530586766543,0.1712858926342072,伸び型,1.0
31,945,0.1746031746031746,0.3576719576719577,0.5312169312169313,6.799756613756614,0.1626137566137566,,,0.0,0.0,0.0,0.0,0.1430687830687831,0.2124867724867725,0.18592592592592594,伸び型,1.0
32,924,0.21753246753246752,0.37012987012987014,0.5248917748917749,6.815800865800866,0.16050865800865802,,,0.0,0.0,0.0,0.0,0.14805194805194807,0.20995670995670995,0.1837121212121212,伸び型,1.0
