motor_no,snapshot_date,long_n,long_win_rate,long_top2_rate,long_top3_rate,long_avg_exhibition_time,deashi_score,nobi_score,mawariashi_score,recent_runs_count,recent_valid_finish_count,recent_top2_rate,recent_top3_rate,recent_avg_exhibition_time,recent_avg_exhibition_rank,recent_finish_quality,recent_trend_delta,rider_adjusted_quality,course_adjusted_quality,course_diversity,long_score_35,recent_score_40,rider_score_15,course_score_10,motor_score_100,motor_rank,reliability,normalization_version,source
12,2026-08-19,871,0.16303099885189437,0.3168771526980482,0.4902411021814007,6.825579793340987,0.1267508610792193,0.19609644087256028,0.17158438576349025,10,10,0.5,0.8,6.901,4.4,0.7,-0.12,0.63,0.677,1.0,10.038,29.447,9.45,7.416,56.351,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
15,2026-08-19,876,0.14269406392694065,0.3013698630136986,0.4600456621004566,6.827888127853881,0.12054794520547946,0.18401826484018266,0.1610159817351598,10,10,0.3,0.3,6.942,6.2,0.44,-0.08,0.396,0.399,1.0,2.915,14.833,5.94,5.192,28.881,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
17,2026-08-19,909,0.18921892189218922,0.3696369636963696,0.5401540154015402,6.80931793179318,0.14785478547854786,0.2160616061606161,0.18905390539053904,10,10,0.3,0.5,6.891,4.2,0.44,0.4,0.484,0.449,1.0,30.915,21.193,7.26,5.592,64.961,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
18,2026-08-19,945,0.16296296296296298,0.3164021164021164,0.48994708994708996,6.805111111111111,0.12656084656084657,0.195978835978836,0.17148148148148148,10,10,0.7,0.8,6.85,2.3,0.76,0.16,0.684,0.73,0.833333,12.823,34.953,10.26,7.507,65.543,B,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
19,2026-08-19,919,0.191512513601741,0.3797606093579978,0.5342763873775843,6.8112513601741025,0.15190424374319914,0.21371055495103375,0.1869967355821545,10,10,0.1,0.3,6.886,4.0,0.32,0.0,0.352,0.352,0.5,30.269,13.353,5.28,3.816,52.719,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
20,2026-08-19,931,0.18045112781954886,0.3523093447905478,0.5080558539205156,6.806756176154672,0.14092373791621912,0.20322234156820623,0.17781954887218043,10,10,0.2,0.3,6.894,5.6,0.3,-0.12,0.354,0.292,0.833333,22.762,12.667,5.31,4.003,44.741,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
21,2026-08-19,897,0.1505016722408027,0.3311036789297659,0.5027870680044593,6.815986622073578,0.13244147157190636,0.20111482720178372,0.17597547380156073,10,10,0.3,0.5,6.907,4.6,0.46,0.04,0.492,0.458,1.0,13.438,20.273,7.38,5.664,46.756,C,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
22,2026-08-19,913,0.13910186199342825,0.3198247535596933,0.4939759036144578,6.816812705366922,0.12792990142387733,0.19759036144578312,0.17289156626506022,10,10,0.1,0.2,6.965,5.7,0.32,0.0,0.342,0.317,1.0,8.731,9.373,5.13,4.536,27.77,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
23,2026-08-19,941,0.14240170031880978,0.30818278427205104,0.5015940488841658,6.815154091392136,0.12327311370882042,0.20063761955366632,0.17555791710945803,10,10,0.3,0.4,6.827,2.6,0.44,-0.24,0.474,0.431,1.0,9.115,20.98,7.11,5.448,42.653,D,1.0,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
24,2026-08-19,843,0.16370106761565836,0.3155397390272835,0.4887307236061684,6.821767497034401,0.1262158956109134,0.19549228944246738,0.17105575326215894,10,9,0.222222,0.222222,6.89,4.5,0.355556,0.08,0.368889,0.341111,0.833333,9.162,13.97,5.533,4.396,33.06,D,0.9,shimonoseki_motor_recent10_norms_v1,boaters_motor_recent10+shimonoseki_motor_type_master_v1
