player_id,player_name,player_type,primary_course,starts,top3_rate,top3_vs_course_avg,course_strength,reliability
3717,立間充宏,2コース差し/残り型,2,7,71.43,14.28,得意,C
3636,坂野泰章,標準/要当日展示,6,4,50.0,27.5,少数参考,参考
3476,中村稔宏,標準/要当日展示,5,4,0.0,-35.28,少数参考,参考
4776,竹田和哉,2コース差し/残り型,2,10,70.0,12.85,得意,B
3609,泉祥史,標準/要当日展示,2,3,66.67,9.52,少数参考,参考
4846,佐藤駿介,2コース差し/残り型,2,19,73.68,16.53,得意,B
4571,菅章哉,2コース差し/残り型,2,6,83.33,26.18,得意,C
4739,中村晃朋,2コース差し/残り型,2,12,66.67,9.52,得意,B
3442,宮武英司,2コース差し/残り型,2,9,77.78,20.63,得意,C
3682,切田潤二,4カド攻撃型,4,8,62.5,14.99,得意,C
4798,浜先真範,4カド攻撃型,4,5,60.0,12.49,得意,C
4157,田崎豊,5コース残り型,5,5,40.0,4.72,やや得意,C
3539,金子順一,イン安定型,1,20,65.0,-20.37,得意,A
4158,木場雄二郎,4カド攻撃型,4,28,53.57,6.06,やや得意,A
4475,末永祐輝,2コース差し/残り型,2,29,75.86,18.71,得意,A
3661,柳瀬興志,4カド攻撃型,4,25,56.0,8.49,得意,A
4034,西原明生,標準/要当日展示,6,4,25.0,2.5,少数参考,参考
4471,新田泰章,2コース差し/残り型,2,14,71.43,14.28,得意,B
4164,岩永節也,標準/要当日展示,6,6,33.33,10.83,得意,C
3350,藤本佳史,2コース差し/残り型,2,7,85.71,28.56,得意,C
3427,大賀広幸,5コース残り型,5,16,43.75,8.47,得意,B
4558,宮野仁,2コース差し/残り型,2,7,71.43,14.28,得意,C
3832,下田哲也,イン安定型,1,6,100.0,14.63,得意,C
2930,新良一規,2コース差し/残り型,2,16,68.75,11.6,得意,B
4601,森野正弘,2コース差し/残り型,2,20,70.0,12.85,得意,A
4812,西野雄貴,4カド攻撃型,4,9,55.56,8.05,得意,C
4064,原田篤志,2コース差し/残り型,2,43,62.79,5.64,得意,A
3773,津留浩一郎,イン安定型,1,9,100.0,14.63,得意,C
3305,小野信樹,標準/要当日展示,3,15,60.0,4.25,やや得意,B
3846,藤井理,5コース残り型,5,5,40.0,4.72,やや得意,C
3711,江本真治,2コース差し/残り型,2,35,62.86,5.71,やや得意,A
3361,岡部浩,標準/要当日展示,4,4,75.0,27.49,少数参考,参考
3897,白井英治,2コース差し/残り型,2,37,86.49,29.34,得意,A
3935,岩津徹郎,2コース差し/残り型,2,9,77.78,20.63,得意,C
3788,一宮稔弘,2コース差し/残り型,2,7,71.43,14.28,得意,C
3980,青木義一,5コース残り型,5,8,87.5,52.22,得意,C
4361,柳生泰二,2コース差し/残り型,2,38,78.95,21.8,得意,A
3368,新名文博,標準/要当日展示,3,4,75.0,19.25,少数参考,参考
4009,小林一樹,4カド攻撃型,4,36,69.44,21.93,得意,A
4179,広次修,4カド攻撃型,4,21,66.67,19.16,得意,A
4167,片岡秀樹,5コース残り型,5,7,57.14,21.86,得意,C
3436,柏野幸二,4カド攻撃型,4,14,57.14,9.63,得意,B
4328,貞本拓哉,標準/要当日展示,6,6,0.0,-22.5,苦手,C
4586,磯部誠,2コース差し/残り型,2,9,100.0,42.85,得意,C
4772,石丸海渡,標準/要当日展示,6,5,40.0,17.5,得意,C
4656,大崎翔,標準/要当日展示,6,5,60.0,37.5,得意,C
4789,古賀智之,2コース差し/残り型,2,6,66.67,9.52,得意,C
4592,小林孝弘,2コース差し/残り型,2,25,64.0,6.85,やや得意,A
4540,相原利章,2コース差し/残り型,2,6,66.67,9.52,得意,C
4541,牛田祥二,標準/要当日展示,3,3,66.67,10.92,少数参考,参考
4587,木田峰由季,イン安定型,1,7,100.0,14.63,得意,C
4618,乃村康友,2コース差し/残り型,2,11,72.73,15.58,得意,B
4777,五十嵐一聡,5コース残り型,5,13,46.15,10.87,得意,B
4567,上村慎太郎,イン安定型,1,18,72.22,-13.15,得意,B
4681,太田潮,5コース残り型,5,5,60.0,24.72,得意,C
