player_id,player_name,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
4846,佐藤駿介,6,45,2.22,2.22,4.44,8.89,0.185,0.05,0.31,20.0,22.5,-13.61,16,35.56,苦手,A
3442,宮武英司,3,10,10.0,0.0,30.0,40.0,0.142,0.06,0.21,30.0,55.75,-15.75,1,10.0,苦手,B
4798,浜先真範,6,13,0.0,0.0,7.69,7.69,0.217,0.13,0.32,15.38,22.5,-14.81,3,23.08,苦手,B
3539,金子順一,2,42,0.0,19.05,16.67,35.71,0.185,0.05,0.41,2.38,57.15,-21.44,12,28.57,苦手,A
4164,岩永節也,5,7,0.0,0.0,0.0,0.0,0.196,0.16,0.23,0.0,35.28,-35.28,2,28.57,苦手,C
3350,藤本佳史,6,8,0.0,0.0,12.5,12.5,0.199,0.11,0.33,0.0,22.5,-10.0,0,0.0,苦手,C
3305,小野信樹,2,16,6.25,0.0,31.25,37.5,0.178,0.1,0.33,6.25,57.15,-19.65,0,0.0,苦手,B
3539,金子順一,4,19,0.0,0.0,10.53,10.53,0.207,0.04,0.35,0.0,47.51,-36.98,6,31.58,苦手,B
3682,切田潤二,2,13,0.0,23.08,15.38,38.46,0.186,0.09,0.26,7.69,57.15,-18.69,1,7.69,苦手,B
3305,小野信樹,1,17,35.29,17.65,11.76,64.71,0.194,0.07,0.35,5.88,85.37,-20.66,0,0.0,苦手,B
4167,片岡秀樹,6,10,10.0,0.0,0.0,10.0,0.198,0.12,0.27,20.0,22.5,-12.5,4,40.0,苦手,B
3361,岡部浩,2,5,20.0,0.0,0.0,20.0,0.226,0.13,0.33,0.0,57.15,-37.15,0,0.0,苦手,C
4328,貞本拓哉,5,5,0.0,0.0,0.0,0.0,0.26,0.11,0.4,0.0,35.28,-35.28,4,80.0,苦手,C
4164,岩永節也,3,8,12.5,12.5,12.5,37.5,0.179,0.09,0.28,0.0,55.75,-18.25,2,25.0,苦手,C
3682,切田潤二,5,5,20.0,0.0,0.0,20.0,0.192,0.07,0.28,0.0,35.28,-15.28,2,40.0,苦手,C
3846,藤井理,2,5,0.0,0.0,0.0,0.0,0.204,0.09,0.28,0.0,57.15,-57.15,1,20.0,苦手,C
4776,竹田和哉,6,12,0.0,0.0,8.33,8.33,0.23,0.12,0.36,8.33,22.5,-14.17,3,25.0,苦手,B
3935,岩津徹郎,1,7,42.86,14.29,0.0,57.14,0.173,0.08,0.23,28.57,85.37,-28.23,0,0.0,苦手,C
3305,小野信樹,4,11,9.09,9.09,9.09,27.27,0.157,0.05,0.27,27.27,47.51,-20.24,2,18.18,苦手,B
3368,新名文博,5,5,0.0,0.0,0.0,0.0,0.232,0.11,0.3,0.0,35.28,-35.28,2,40.0,苦手,C
4034,西原明生,5,7,0.0,0.0,14.29,14.29,0.177,0.11,0.29,14.29,35.28,-20.99,1,14.29,苦手,C
4009,小林一樹,2,29,3.45,20.69,20.69,44.83,0.121,0.03,0.19,27.59,57.15,-12.32,2,6.9,苦手,A
3832,下田哲也,3,8,0.0,0.0,37.5,37.5,0.171,0.05,0.37,0.0,55.75,-18.25,0,0.0,苦手,C
3539,金子順一,3,38,0.0,13.16,15.79,28.95,0.184,0.07,0.29,2.63,55.75,-26.8,6,15.79,苦手,A
3636,坂野泰章,4,6,0.0,0.0,0.0,0.0,0.233,0.15,0.34,0.0,47.51,-47.51,1,16.67,苦手,C
3832,下田哲也,2,6,0.0,16.67,16.67,33.33,0.172,0.07,0.26,16.67,57.15,-23.82,0,0.0,苦手,C
4167,片岡秀樹,2,7,14.29,0.0,14.29,28.57,0.143,0.03,0.36,28.57,57.15,-28.58,0,0.0,苦手,C
4328,貞本拓哉,6,6,0.0,0.0,0.0,0.0,0.138,0.03,0.26,16.67,22.5,-22.5,4,66.67,苦手,C
3636,坂野泰章,5,5,0.0,0.0,0.0,0.0,0.22,0.11,0.3,0.0,35.28,-35.28,1,20.0,苦手,C
4158,木場雄二郎,2,38,7.89,18.42,18.42,44.74,0.173,0.1,0.27,13.16,57.15,-12.41,1,2.63,苦手,A
4157,田崎豊,4,5,0.0,20.0,0.0,20.0,0.214,0.16,0.29,0.0,47.51,-27.51,0,0.0,苦手,C
3361,岡部浩,6,7,0.0,0.0,0.0,0.0,0.21,0.1,0.29,14.29,22.5,-22.5,2,28.57,苦手,C
3846,藤井理,3,5,0.0,0.0,0.0,0.0,0.188,0.17,0.21,20.0,55.75,-55.75,0,0.0,苦手,C
4034,西原明生,4,5,0.0,20.0,0.0,20.0,0.19,0.11,0.31,0.0,47.51,-27.51,1,20.0,苦手,C
3539,金子順一,5,13,0.0,0.0,7.69,7.69,0.268,0.18,0.46,0.0,35.28,-27.59,2,15.38,苦手,B
3832,下田哲也,5,7,0.0,14.29,0.0,14.29,0.194,0.03,0.44,28.57,35.28,-20.99,1,14.29,苦手,C
2930,新良一規,4,12,16.67,0.0,16.67,33.33,0.232,0.12,0.37,0.0,47.51,-14.18,2,16.67,苦手,B
4167,片岡秀樹,4,11,0.0,0.0,18.18,18.18,0.186,0.07,0.39,27.27,47.51,-29.33,2,18.18,苦手,B
3682,切田潤二,6,5,0.0,0.0,0.0,0.0,0.26,0.19,0.32,0.0,22.5,-22.5,1,20.0,苦手,C
3305,小野信樹,6,10,0.0,10.0,0.0,10.0,0.177,0.09,0.31,20.0,22.5,-12.5,1,10.0,苦手,B
3788,一宮稔弘,4,6,33.33,0.0,0.0,33.33,0.1,0.05,0.14,50.0,47.51,-14.18,1,16.67,苦手,C
