player_id,player_name,lane,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
3717,立間充宏,1,1,14,78.57,7.14,0.0,85.71,0.119,0.04,0.28,64.29,85.37,0.34,0,0.0,得意,B
3636,坂野泰章,2,2,5,20.0,20.0,20.0,60.0,0.244,0.2,0.34,0.0,57.15,2.85,0,0.0,標準,C
3476,中村稔宏,3,3,3,0.0,0.0,0.0,0.0,0.347,0.27,0.47,0.0,55.75,-55.75,0,0.0,少数参考,参考
4776,竹田和哉,4,4,7,28.57,28.57,28.57,85.71,0.149,0.02,0.3,14.29,47.51,38.2,0,0.0,得意,C
4846,佐藤駿介,6,6,29,0.0,0.0,3.45,3.45,0.178,0.09,0.27,17.24,22.5,-19.05,0,0.0,苦手,A
4571,菅章哉,1,1,14,35.71,28.57,14.29,78.57,0.177,0.01,0.45,14.29,85.37,-6.8,0,0.0,得意,B
4739,中村晃朋,2,2,12,8.33,25.0,33.33,66.67,0.154,0.09,0.25,8.33,57.15,9.52,0,0.0,得意,B
3442,宮武英司,3,3,9,11.11,0.0,33.33,44.44,0.137,0.06,0.21,33.33,55.75,-11.31,0,0.0,苦手,C
3682,切田潤二,4,4,7,0.0,28.57,28.57,57.14,0.197,0.16,0.23,14.29,47.51,9.63,0,0.0,得意,C
4798,浜先真範,5,6,3,0.0,0.0,0.0,0.0,0.24,0.2,0.29,0.0,22.5,-22.5,3,100.0,少数参考,参考
3539,金子順一,2,2,30,0.0,20.0,20.0,40.0,0.194,0.08,0.41,3.33,57.15,-17.15,0,0.0,苦手,A
4158,木場雄二郎,3,3,29,6.9,37.93,20.69,65.52,0.158,0.06,0.29,34.48,55.75,9.77,0,0.0,得意,A
4475,末永祐輝,5,5,26,11.54,7.69,26.92,46.15,0.165,0.05,0.32,19.23,35.28,10.87,0,0.0,得意,A
3661,柳瀬興志,1,1,22,45.45,27.27,13.64,86.36,0.215,0.06,0.46,9.09,85.37,0.99,0,0.0,標準,A
4034,西原明生,2,2,7,0.0,28.57,28.57,57.14,0.213,0.11,0.29,0.0,57.15,-0.01,0,0.0,標準,C
4471,新田泰章,3,3,15,6.67,53.33,20.0,80.0,0.109,0.01,0.2,26.67,55.75,24.25,0,0.0,得意,B
4164,岩永節也,5,5,5,0.0,0.0,0.0,0.0,0.198,0.16,0.23,0.0,35.28,-35.28,0,0.0,苦手,C
3350,藤本佳史,6,6,8,0.0,0.0,12.5,12.5,0.199,0.11,0.33,0.0,22.5,-10.0,0,0.0,苦手,C
3427,大賀広幸,1,1,27,62.96,22.22,0.0,85.19,0.168,0.07,0.29,25.93,85.37,-0.18,0,0.0,得意,A
3636,坂野泰章,3,3,4,25.0,25.0,25.0,75.0,0.212,0.02,0.34,25.0,55.75,19.25,0,0.0,少数参考,参考
4558,宮野仁,5,5,7,0.0,0.0,28.57,28.57,0.161,0.09,0.29,14.29,35.28,-6.71,0,0.0,標準,C
3832,下田哲也,6,6,5,0.0,20.0,0.0,20.0,0.212,0.19,0.27,20.0,22.5,-2.5,0,0.0,標準,C
2930,新良一規,1,1,15,40.0,33.33,13.33,86.67,0.203,0.04,0.29,33.33,85.37,1.3,0,0.0,標準,B
4601,森野正弘,4,4,22,18.18,31.82,13.64,63.64,0.132,0.03,0.2,45.45,47.51,16.13,0,0.0,得意,A
4064,原田篤志,6,5,4,0.0,50.0,25.0,75.0,0.185,0.14,0.23,0.0,35.28,39.72,4,100.0,少数参考,参考
3773,津留浩一郎,1,1,9,55.56,22.22,22.22,100.0,0.128,0.03,0.24,22.22,85.37,14.63,0,0.0,得意,C
3305,小野信樹,2,2,16,6.25,0.0,31.25,37.5,0.178,0.1,0.33,6.25,57.15,-19.65,0,0.0,苦手,B
4798,浜先真範,6,6,10,0.0,0.0,10.0,10.0,0.21,0.13,0.32,20.0,22.5,-12.5,0,0.0,苦手,B
3361,岡部浩,1,1,3,33.33,33.33,0.0,66.67,0.223,0.16,0.32,33.33,85.37,-18.7,0,0.0,少数参考,参考
3661,柳瀬興志,2,2,25,24.0,20.0,8.0,52.0,0.209,0.08,0.28,8.0,57.15,-5.15,0,0.0,標準,A
3897,白井英治,3,3,15,33.33,53.33,6.67,93.33,0.149,0.05,0.32,6.67,55.75,37.58,0,0.0,得意,B
3539,金子順一,4,4,13,0.0,0.0,7.69,7.69,0.188,0.04,0.29,0.0,47.51,-39.82,0,0.0,苦手,B
3935,岩津徹郎,5,5,6,0.0,16.67,16.67,33.33,0.187,0.15,0.28,0.0,35.28,-1.95,0,0.0,標準,C
4471,新田泰章,1,1,18,94.44,5.56,0.0,100.0,0.147,0.05,0.29,50.0,85.37,14.63,0,0.0,得意,B
