reg_no,name,branch,grade,age,weight,grade_num,is_A1,is_B2,age_group,is_A2,is_B1,has_player_master
310,安 岐 義 晴,香川,B2,19.6,,1.0,0,1,~25,0,0,1
928,森 田 敏,長崎,B1,16.9,,2.0,0,0,~25,0,1,1
1370,小 澤 成 吉,愛知,B1,11.5,,2.0,0,0,~25,0,1,1
1481,北 原 友 次,岡山,B1,10.7,,2.0,0,0,~25,0,1,1
1485,加 藤 峻 二,埼玉,B1,9.0,,2.0,0,0,~25,0,1,1
1531,井 上 弘,群馬,B1,11.1,,2.0,0,0,~25,0,1,1
1620,星 野 幸 正,群馬,B2,9.8,,1.0,0,1,~25,0,0,1
1629,須 藤 経 夫,群馬,B1,8.1,,2.0,0,0,~25,0,1,1
1643,武 田 章,岡山,B1,8.9,,2.0,0,0,~25,0,1,1
1670,岩 口 昭 三,福井,B2,8.8,,1.0,0,1,~25,0,0,1
1710,万 谷 章,岡山,B1,7.1,,2.0,0,0,~25,0,1,1
1738,松 本 進,愛知,B2,9.1,,1.0,0,1,~25,0,0,1
1754,伊 達 哲,兵庫,B1,6.6,,2.0,0,0,~25,0,1,1
1759,酒 井 忠 義,香川,B1,4.3,,2.0,0,0,~25,0,1,1
1781,谷 川 宏 之,愛知,B1,10.9,,2.0,0,0,~25,0,1,1
1812,長 嶺 豊,大阪,B1,7.2,,2.0,0,0,~25,0,1,1
1825,森 満 弘,香川,B1,3.9,,2.0,0,0,~25,0,1,1
1843,小 林 一 生,福岡,B1,9.4,,2.0,0,0,~25,0,1,1
1849,田 中 理,茨城,B1,8.3,,2.0,0,0,~25,0,1,1
1853,大 平 浩 士,岡山,B1,7.8,,2.0,0,0,~25,0,1,1
1860,黒 石 旦 明,香川,B1,6.4,,2.0,0,0,~25,0,1,1
1864,安 岐 真 人,香川,B1,6.0,,2.0,0,0,~25,0,1,1
1875,縄 谷 博 一,千葉,B1,9.0,,2.0,0,0,~25,0,1,1
1884,柴 田 稔,静岡,B1,10.3,,2.0,0,0,~25,0,1,1
1897,石 塚 憲 明,静岡,B2,7.6,,1.0,0,1,~25,0,0,1
1910,大 森 健 二,岡山,B2,3.3,,1.0,0,1,~25,0,0,1
1911,加 藤 元 三,福井,B1,2.6,,2.0,0,0,~25,0,1,1
1914,佐 竹 孝 雄,滋賀,B2,5.1,,1.0,0,1,~25,0,0,1
1924,野 口 徳 三,大阪,B1,8.8,,2.0,0,0,~25,0,1,1
1932,高 崎 靖 徳,香川,B2,7.5,,1.0,0,1,~25,0,0,1
1936,大 屋 勝 利,福岡,B2,7.1,,1.0,0,1,~25,0,0,1
1938,浮 田 明,岡山,B2,6.2,,1.0,0,1,~25,0,0,1
1939,柿 本 清 春,長崎,B1,6.1,,2.0,0,0,~25,0,1,1
1942,石 田 栄 章,岡山,B1,5.5,,2.0,0,0,~25,0,1,1
1948,脇 山 久 夫,佐賀,B2,4.2,,1.0,0,1,~25,0,0,1
1952,村 田 瑞 穂,三重,B1,3.3,,2.0,0,0,~25,0,1,1
1962,井 上 利 明,大阪,B1,9.2,,2.0,0,0,~25,0,1,1
1974,村 井 重 俊,滋賀,B1,6.7,,2.0,0,0,~25,0,1,1
1976,川 端 寛,福岡,B2,6.1,,1.0,0,1,~25,0,0,1
1977,藤 井 輝 夫,佐賀,B1,6.0,,2.0,0,0,~25,0,1,1
1985,児 玉 冨美雄,福岡,B2,3.7,,1.0,0,1,~25,0,0,1
2006,益 田 訓 夫,大阪,B1,6.3,,2.0,0,0,~25,0,1,1
2014,高 塚 清 一,静岡,B1,3.8,,2.0,0,0,~25,0,1,1
2015,近 藤 幸 男ｺﾝﾄﾞ,,,,,,0,0,,0,0,1
2016,森 田 謙 治,長崎,B2,3.5,,1.0,0,1,~25,0,0,1
2021,古 賀 武日児,福岡,B1,1.7,,2.0,0,0,~25,0,1,1
2022,平 野 小 六,福井,B1,1.3,,2.0,0,0,~25,0,1,1
2023,堤 栄一郎,長崎,B2,1.3,,1.0,0,1,~25,0,0,1
2031,中 西 寛 治,福岡,B1,8.0,,2.0,0,0,~25,0,1,1
2034,谷 口 誠,広島,B1,7.3,,2.0,0,0,~25,0,1,1
2036,倉 重 宏 明,福岡,B1,7.0,,2.0,0,0,~25,0,1,1
2038,鈴 木 錦 一,愛知,B1,6.7,,2.0,0,0,~25,0,1,1
2042,金 井 秀 夫,群馬,B1,5.7,,2.0,0,0,~25,0,1,1
2044,友 永 健 策,福岡,B1,5.7,,2.0,0,0,~25,0,1,1
2046,榊 原 利 行,愛知,B2,5.2,,1.0,0,1,~25,0,0,1
2049,佐 口 芳 男,群馬,B1,4.1,,2.0,0,0,~25,0,1,1
2054,安 岐 保,香川,B1,3.6,,2.0,0,0,~25,0,1,1
2055,赤 峰 敏 春,佐賀,B1,1.7,,2.0,0,0,~25,0,1,1
2056,池 畑 照 正,香川,B1,1.5,,2.0,0,0,~25,0,1,1
2057,向 井 康 博,岡山,B2,1.3,,1.0,0,1,~25,0,0,1
2061,沢 田 茂 晴,兵庫,B2,9.0,,1.0,0,1,~25,0,0,1
2070,山 本 忠,岡山,B1,5.9,,2.0,0,0,~25,0,1,1
2073,村 上 一 行,岡山,B1,5.5,,2.0,0,0,~25,0,1,1
2074,広 瀬 政 憲,兵庫,B1,5.5,,2.0,0,0,~25,0,1,1
2083,森 永 修,福岡,B1,3.7,,2.0,0,0,~25,0,1,1
2084,納 富 英 昭,佐賀,A2,3.7,,3.0,0,0,~25,1,0,1
2086,戸 田 千 秋,岡山,B2,3.5,,1.0,0,1,~25,0,0,1
2090,黒 明 良 光,岡山,B2,3.1,,1.0,0,1,~25,0,0,1
2091,小 池 正 治,埼玉,B1,3.0,,2.0,0,0,~25,0,1,1
