tide_phase,tide_phase_bucket,time_band,lane,n,win_count,second_count,third_count,top2_count,top3_count,nige_count,sashi_count,makuri_count,makurizashi_count,nuki_count,megumare_count,win_rate,second_rate,third_rate,top2_rate,top3_rate,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,nuki_rate,megumare_rate,sample_reliability
falling,falling_early,unknown,1,2590,1540,438,217,1978,2195,0,0,0,0,0,0,0.5945945945945946,0.1691119691119691,0.08378378378378379,0.7637065637065638,0.8474903474903475,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_early,unknown,2,2587,282,662,514,944,1458,0,0,0,0,0,0,0.1090065713181291,0.2558948589099343,0.19868573637417858,0.3649014302280634,0.563587166602242,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_early,unknown,3,2590,295,602,527,897,1424,0,0,0,0,0,0,0.1138996138996139,0.23243243243243245,0.20347490347490346,0.34633204633204634,0.5498069498069498,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_early,unknown,4,2586,261,405,533,666,1199,0,0,0,0,0,0,0.10092807424593968,0.15661252900232017,0.20610982211910286,0.25754060324825984,0.46365042536736273,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_early,unknown,5,2574,146,291,437,437,874,0,0,0,0,0,0,0.05672105672105672,0.11305361305361306,0.16977466977466976,0.16977466977466976,0.3395493395493395,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_early,unknown,6,2576,94,220,392,314,706,0,0,0,0,0,0,0.036490683229813664,0.08540372670807453,0.15217391304347827,0.12189440993788819,0.27406832298136646,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_late,unknown,1,293,190,49,19,239,258,0,0,0,0,0,0,0.6484641638225256,0.16723549488054607,0.06484641638225255,0.8156996587030717,0.8805460750853242,0.0,0.0,0.0,0.0,0.0,0.0,0.9142576632524354
falling,falling_late,unknown,2,292,30,77,63,107,170,0,0,0,0,0,0,0.10273972602739725,0.2636986301369863,0.21575342465753425,0.3664383561643836,0.5821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.9137095895501272
falling,falling_late,unknown,3,291,25,63,68,88,156,0,0,0,0,0,0,0.0859106529209622,0.21649484536082475,0.23367697594501718,0.3024054982817869,0.5360824742268041,0.0,0.0,0.0,0.0,0.0,0.0,0.9131596420879275
falling,falling_late,unknown,4,295,26,49,52,75,127,0,0,0,0,0,0,0.08813559322033898,0.16610169491525423,0.17627118644067796,0.2542372881355932,0.43050847457627117,0.0,0.0,0.0,0.0,0.0,0.0,0.9153482401484359
falling,falling_late,unknown,5,291,14,35,53,49,102,0,0,0,0,0,0,0.048109965635738834,0.12027491408934708,0.18213058419243985,0.16838487972508592,0.35051546391752575,0.0,0.0,0.0,0.0,0.0,0.0,0.9131596420879275
falling,falling_late,unknown,6,295,12,24,42,36,78,0,0,0,0,0,0,0.04067796610169491,0.08135593220338982,0.1423728813559322,0.12203389830508475,0.26440677966101694,0.0,0.0,0.0,0.0,0.0,0.0,0.9153482401484359
falling,falling_mid,unknown,1,1436,866,271,116,1137,1253,0,0,0,0,0,0,0.6030640668523677,0.18871866295264625,0.0807799442896936,0.791782729805014,0.8725626740947076,0.0,0.0,0.0,0.0,0.0,0.0,1.0
falling,falling_mid,unknown,2,1439,180,352,289,532,821,0,0,0,0,0,0,0.1250868658790827,0.24461431549687282,0.20083391243919388,0.36970118137595553,0.5705350938151494,0.0,0.0,0.0,0.0,0.0,0.0,1.0
